Sample	num_nodes	num_edges	edge_density	num_pos_edges	portion_pos_edges	num_neg_edges	portion_neg_edges	average_pos_association_strength	average_neg_association_strength	transitivity_global_clusering_coef	transitivity_ave_clustering_coef_mean_local	ave_path_length	assortativity_nominal_EukProk	assortativity_nominal_Sizefraction	assortativity_degree	count_nano	count_pico	count_euk	count_prok	count_euk_nano	count_euk_pico	count_prok_nano	count_prok_pico	fraction_nano	fraction_pico	fraction_euk	fraction_prok	fraction_euk_nano	fraction_euk_pico	fraction_prok_nano	fraction_prok_pico
BL.20130417	261	232	0.00683760683760684	226	0.974137931034483	6	0.0258620689655172	0.694242375341387	-0.616988158926805	0.0107913669064748	0.00714285714285714	10.0197672564961	0.729813664596274	0.185964912280702	-0.043664878250102	62	199	115	146	23	92	39	107	23.7547892720307	76.2452107279694	44.0613026819923	55.9386973180077	8.81226053639847	35.2490421455939	14.9425287356322	40.9961685823755
BL.20130507	236	201	0.00724846736386585	194	0.965174129353234	7	0.0348258706467662	0.69509694696514	-0.625846269393512	0.0131004366812227	0.00847457627118644	10.2034176799211	0.737861155698234	0.316531653165317	0.0511263377409085	59	177	110	126	19	91	40	86	25	75	46.6101694915254	53.3898305084746	8.05084745762712	38.5593220338983	16.9491525423729	36.4406779661017
BL.20130604	359	320	0.00497969219277633	296	0.925	24	0.075	0.706081483161512	-0.660894081343111	0.0229007633587786	0.0142602495543672	17.3928259300072	0.7375	0.339834958739685	0.116522957422918	69	290	192	167	24	168	45	122	19.2200557103064	80.7799442896936	53.4818941504178	46.5181058495822	6.68523676880223	46.7966573816156	12.5348189415042	33.983286908078
BL.20130709	283	268	0.00671628699596521	257	0.958955223880597	11	0.041044776119403	0.699797107593421	-0.659106754628604	0.024	0.0289855072463768	9.96298701298701	0.713723505931298	0.355769230769231	-0.0731471573060852	59	224	129	154	28	101	31	123	20.8480565371025	79.1519434628975	45.583038869258	54.416961130742	9.89399293286219	35.6890459363958	10.9540636042403	43.4628975265018
BL.20130801	286	264	0.00647773279352227	258	0.977272727272727	6	0.0227272727272727	0.707328986553459	-0.642070956637792	0.00859598853868195	0.00925925925925926	13.7176069806359	0.771415377510967	0.27483958122256	0.034562580804039	54	232	136	150	17	119	37	113	18.8811188811189	81.1188811188811	47.5524475524476	52.4475524475524	5.94405594405594	41.6083916083916	12.9370629370629	39.5104895104895
BL.20130917	428	404	0.00442119547374642	380	0.94059405940594	24	0.0594059405940594	0.700413520320837	-0.62938822482589	0.0259515570934256	0.0239099859353024	12.1709137839411	0.593023038895625	0.280969810940596	0.0802452438914437	101	327	208	220	58	150	43	177	23.5981308411215	76.4018691588785	48.5981308411215	51.4018691588785	13.5514018691589	35.0467289719626	10.0467289719626	41.3551401869159
BL.20131015	389	389	0.00515463917525773	363	0.933161953727506	26	0.0668380462724936	0.705417897864532	-0.633225696470525	0.0256849315068493	0.0176388888888889	12.3044891834438	0.641023489932886	0.25836746222285	0.10841921189793	97	292	159	230	46	113	51	179	24.9357326478149	75.0642673521851	40.8740359897172	59.1259640102828	11.8251928020566	29.0488431876607	13.1105398457584	46.0154241645244
BL.20140114	771	965	0.0032509643404585	922	0.955440414507772	43	0.044559585492228	0.681753631411053	-0.620997941331911	0.0122324159021407	0.010485651214128	9.70775981922361	0.700746952863769	0.431970216632955	0.0209603462993451	284	487	314	457	225	89	59	398	36.8352788586252	63.1647211413748	40.7263294422827	59.2736705577173	29.1828793774319	11.5434500648508	7.65239948119326	51.621271076524
BL.20140211	850	1086	0.00300976927873623	1022	0.941068139963168	64	0.0589318600368324	0.683711919973287	-0.636582158949698	0.0222319093286835	0.0185564808883195	9.46243062067567	0.682673041894353	0.472941319809324	0.0538233311011281	252	598	296	554	183	113	69	485	29.6470588235294	70.3529411764706	34.8235294117647	65.1764705882353	21.5294117647059	13.2941176470588	8.11764705882353	57.0588235294118
BL.20140310	705	833	0.0033567053513862	781	0.937575030012005	52	0.0624249699879952	0.686560363825913	-0.629215613891561	0.0171646535282899	0.0154533844189017	10.3299876090191	0.642966554243957	0.394956565741756	0.00519799945342765	218	487	218	487	144	74	74	413	30.9219858156028	69.0780141843972	30.9219858156028	69.0780141843972	20.4255319148936	10.4964539007092	10.4964539007092	58.5815602836879
BL.20141007	593	648	0.0036917187001504	626	0.966049382716049	22	0.0339506172839506	0.693728477405422	-0.633883758060491	0.0211081794195251	0.0189425770308123	10.6866715072982	0.580210923433079	0.372905792918811	0.0763761625904233	234	359	292	301	187	105	47	254	39.460370994941	60.539629005059	49.2411467116357	50.7588532883643	31.5345699831366	17.7065767284992	7.92580101180438	42.8330522765599
BL.20141111	891	1084	0.00273395629200873	1035	0.95479704797048	49	0.0452029520295203	0.685416060074194	-0.627711587933081	0.0259562841530055	0.0255766091831665	10.1381265389529	0.587811520476851	0.403089981235642	0.0483185938333126	354	537	399	492	285	114	69	423	39.7306397306397	60.2693602693603	44.7811447811448	55.2188552188552	31.986531986532	12.7946127946128	7.74410774410774	47.4747474747475
