Source	Target	num_triplets	ENVs	SignPattern	Overlap	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_SP_OL_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV	presence_X	presence_Y	presence_X_AND_Y	presence_X_OR_Y	percentage_co_occurrence
bn_ASV_000367	bp_ASV_000244	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.475862	0.590067;0.584954	0.114205;0.109092	nan;nan	2.000000;3.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	43	51	33	61	54.098361
bn_ASV_000367	bp_ASV_000064	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.236730	0.009213	-0.227517	0.325674	1.000000	0.000000	1	0	0	1.000000	0.000000	0.000000	43	51	2	92	2.173913
bn_ASV_000367	bp_ASV_000213	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.568573	0.020289;0.465419	-0.548283;-0.103153	0.011988;0.917083	2.000000;3.000000	1.000000;1.000000	0	1	1	1.000000;1.000000	0.000000	0.000000;0.000000	43	51	36	58	62.068966
bn_ASV_000367	bp_ASV_000304	1	ENV_Temp	0.000000	100.000000	0.496891	0.130053	-0.366838	0.071928	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	51	35	59	59.322034
bn_ASV_000367	bn_ASV_000320	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.541291	0.100586	-0.440706	0.439560	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	37	30	50	60.000000
bn_ASV_000367	bn_ASV_000525	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	88.235294;100.000000	0.513067	0.573572;0.105348	0.060505;-0.407719	nan;0.539461	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	26	25	44	56.818182
bn_ASV_000367	ep_ASV_00081	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.441925	0.062520;0.026219	-0.379405;-0.415706	0.287712;0.000999	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	51	38	56	67.857143
bn_ASV_000367	ep_ASV_00127	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.463810	0.556815	0.093005	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	58	38	63	60.317460
bn_ASV_000367	en_ASV_00059	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.214678	-0.015145;-0.020536	-0.229823;-0.235214	0.091908;0.032967	2.000000;1.000000	1.000000;0.000000	1	1	0	1.000000;0.000000	0.000000	0.000000;0.000000	43	52	3	92	3.260870
bn_ASV_000367	bn_ASV_000476	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	99.152542;100.000000	0.455565	0.539240;-0.007585	0.083675;-0.463149	nan;0.024975	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	33	29	47	61.702128
bn_ASV_000367	bn_ASV_000176	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.507767	0.635452	0.127686	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	32	27	48	56.250000
bn_ASV_000367	en_ASV_00983	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.509453	0.163408;0.105598	-0.346045;-0.403855	0.257742;0.096903	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	55	37	61	60.655738
bn_ASV_000367	bp_ASV_000308	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.304192	0.007172;0.332593	-0.297021;0.028401	0.043956;nan	2.000000;1.000000	1.000000;0.000000	1	1	0	1.000000;1.000000	0.000000	0.000000;0.000000	43	49	34	58	58.620690
bn_ASV_000367	bn_ASV_000573	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.249509	-0.023486	-0.272995	0.014985	1.000000	0.000000	1	0	0	0.000000	0.000000	0.000000	43	29	23	49	46.938776
bn_ASV_000367	bn_ASV_000720	1	ENV_Temp	0.000000	100.000000	0.525336	0.014520	-0.510816	0.176823	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000	43	30	28	45	62.222222
bn_ASV_000367	en_ASV_00683	2	ENV_Day_length_Hours_light;ENV_Temp	0.000000;0.000000	100.000000;100.000000	0.546397	0.110270;0.120043	-0.436127;-0.426354	0.250749;0.147852	3.000000;3.000000	1.000000;1.000000	0	0	2	1.000000;1.000000	0.000000	0.000000;0.000000	43	49	36	56	64.285714
bn_ASV_000367	en_ASV_00504	1	ENV_Day_length_Hours_light	0.000000	100.000000	0.382702	0.009263	-0.373439	0.139860	2.000000	1.000000	0	1	0	1.000000	0.000000	0.000000	43	48	32	59	54.237288
