Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_314_16S_022_3	ASV_432_16S_022_3	0.739688452205526	1	0.625515	-0.027156	0.430569	3	1	1
ASV_149_16S_022_3	ASV_431_16S_022_3	0.739852131571701	1	0.209008	0.088271	nan	1	0	1
ASV_94_16S_022_3	ASV_433_16S_022_3	-0.839736959457224	1	0.387261	-0.164826	0.679321	3	1	1
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	1	0.364511	0.025206	nan	2	1	1
ASV_95_16S_022_3	ASV_443_16S_022_3	0.740713918848504	1	0.472324	0.257316	nan	3	1	1
ASV_342_16S_022_3	ASV_443_16S_022_3	0.763418686967404	1	0.583064	0.184640	nan	3	1	1
ASV_336_16S_022_3	ASV_446_16S_022_3	0.735290229320526	1	0.678126	-0.641633	0.000999	3	1	1
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733	1	0.827085	-0.527288	0.000999	3	1	1
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005	1	0.750859	-0.661480	0.000999	3	1	1
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318	1	0.365652	-0.351175	0.607393	3	1	1
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451	1	0.741540	-0.499210	0.132867	3	1	1
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	1	0.721882	0.182967	nan	3	1	1
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547	1	0.689807	0.048994	nan	3	1	1
ASV_513_16S_022_3	ASV_526_16S_022_3	0.898167879673384	1	0.663959	0.334840	nan	3	1	1
ASV_259_16S_022_3	ASV_534_16S_022_3	0.571564853191376	1	0.484975	-0.249002	0.131868	3	1	1
ASV_356_16S_022_3	ASV_554_16S_022_3	0.821875007808464	1	0.599986	0.430531	nan	3	1	1
ASV_404_16S_022_3	ASV_567_16S_022_3	0.821476590394346	1	0.532561	-0.218914	0.345654	3	1	1
ASV_442_16S_022_3	ASV_572_16S_022_3	0.834374966558984	1	0.610006	-0.069115	0.345654	3	1	1
ASV_513_16S_022_3	ASV_604_16S_022_3	0.638205766677856	1	0.483138	0.453816	nan	3	1	1
ASV_191_16S_022_3	ASV_614_16S_022_3	0.59643552116619	1	0.451722	-0.097313	0.763237	3	1	1
ASV_259_16S_022_3	ASV_618_16S_022_3	0.832971939335272	1	0.576494	-0.120582	0.739261	3	1	1
ASV_528_16S_022_3	ASV_619_16S_022_3	0.877277909425732	1	0.815145	-0.040207	0.215784	3	1	1
ASV_39_16S_022_3	ASV_620_16S_022_3	0.787747759991725	1	0.528327	-0.071153	0.762238	3	1	1
ASV_90_16S_022_3	ASV_626_16S_022_3	0.562155306339264	1	0.481607	0.109366	nan	3	1	1
ASV_600_16S_022_3	ASV_626_16S_022_3	0.759975383747704	1	0.742716	-0.553224	0.084915	3	1	1
ASV_481_16S_022_3	ASV_645_16S_022_3	0.77140093393267	1	0.510817	-0.541985	0.618382	3	1	1
ASV_554_16S_022_3	ASV_645_16S_022_3	0.684720396995544	1	0.413020	-0.382140	0.311688	3	1	1
ASV_510_16S_022_3	ASV_649_16S_022_3	0.531745910644531	1	0.479137	0.479833	nan	3	1	1
ASV_427_16S_022_3	ASV_652_16S_022_3	0.881113648450394	1	0.803074	-0.435617	0.250749	3	1	1
ASV_77_16S_022_3	ASV_653_16S_022_3	0.741600070007248	1	0.334480	0.456464	nan	3	1	1
ASV_155_16S_022_3	ASV_659_16S_022_3	0.983102713068996	1	0.897166	-0.238582	0.262737	3	1	1
ASV_565_16S_022_3	ASV_712_16S_022_3	-0.655871689319611	1	0.555876	-0.092887	0.595405	3	1	1
ASV_712_16S_022_3	ASV_719_16S_022_3	-0.846705506504987	1	0.707928	-0.169842	0.500500	3	1	1
ASV_510_16S_022_3	ASV_726_16S_022_3	0.654107749462128	1	0.584812	-0.623907	0.381618	3	1	1
ASV_733_16S_022_3	ASV_742_16S_022_3	0.926028582493933	1	0.648495	-0.679663	0.523477	3	1	1
ASV_521_16S_022_3	ASV_748_16S_022_3	0.901947533190336	1	0.908152	-0.899481	0.190809	3	1	1
ASV_534_16S_022_3	ASV_748_16S_022_3	0.745245247762314	1	0.678043	-0.033693	0.417582	3	1	1
ASV_681_16S_022_3	ASV_748_16S_022_3	0.757218518264951	1	0.622336	0.316199	nan	3	1	1
ASV_155_16S_022_3	ASV_783_16S_022_3	0.972434219373678	1	0.892896	-0.373723	0.166833	3	1	1
ASV_487_16S_022_3	ASV_826_16S_022_3	0.770200079447663	1	0.565509	0.286993	nan	3	1	1
ASV_394_16S_022_3	ASV_828_16S_022_3	-0.739532602741098	1	0.440424	-0.245320	0.418581	3	1	1
ASV_171_16S_022_3	ASV_830_16S_022_3	-0.785075746366659	1	0.196938	0.129937	nan	1	0	1
ASV_618_16S_022_3	ASV_838_16S_022_3	0.798643463519431	1	0.460004	-0.224395	0.394605	3	1	1
