Source	Target	num_triplets	ENVs	MutualInformation	ConditionalMutualInformation	InteractionInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	DPI_num_MI_rank1	DPI_num_MI_rank2	DPI_num_MI_rank3	COMBI_II_DPI	portion_nan_Source_Target	portion_nan_Source_Target_ENV
ASV_155_16S_022_3	ASV_336_16S_022_3	1	ENV_Temperature	0.792654	0.828274	0.035621	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_299_16S_022_3	ASV_341_16S_022_3	1	ENV_Temperature	0.547165	0.330181	-0.216984	0.446553	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_328_16S_022_3	ASV_342_16S_022_3	1	ENV_Temperature	0.836893	0.722126	-0.114766	0.890110	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_209_16S_022_3	ASV_346_16S_022_3	1	ENV_Temperature	0.535442	1.318373	0.782931	nan	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_160_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.655293	0.143297	-0.511996	0.612388	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.508810	0.072993	-0.435816	0.391608	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_260_16S_022_3	ASV_362_16S_022_3	1	ENV_Temperature	0.704581	0.144878	-0.559703	0.613387	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_159_16S_022_3	ASV_375_16S_022_3	1	ENV_Temperature	0.750859	0.326289	-0.424571	0.334665	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_376_16S_022_3	ASV_393_16S_022_3	1	ENV_Temperature	0.577806	0.095532	-0.482275	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_111_16S_022_3	ASV_395_16S_022_3	1	ENV_Temperature	0.806566	0.177348	-0.629218	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_330_16S_022_3	ASV_400_16S_022_3	1	ENV_Temperature	0.619855	-0.062296	-0.682151	0.111888	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_190_16S_022_3	ASV_403_16S_022_3	1	ENV_Temperature	0.482048	0.038420	-0.443628	0.445554	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_299_16S_022_3	ASV_403_16S_022_3	1	ENV_Temperature	0.533002	0.062553	-0.470449	0.335664	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_232_16S_022_3	ASV_404_16S_022_3	1	ENV_Temperature	0.586602	0.277647	-0.308955	0.611389	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_393_16S_022_3	ASV_404_16S_022_3	1	ENV_Temperature	0.450102	0.064516	-0.385586	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_322_16S_022_3	ASV_418_16S_022_3	1	ENV_Temperature	0.566250	0.088356	-0.477894	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_198_16S_022_3	ASV_427_16S_022_3	1	ENV_Temperature	0.622559	0.081912	-0.540647	0.168831	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_361_16S_022_3	ASV_427_16S_022_3	1	ENV_Temperature	0.958618	0.185167	-0.773451	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_314_16S_022_3	ASV_432_16S_022_3	1	ENV_Temperature	0.625515	0.100936	-0.524579	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_149_16S_022_3	ASV_431_16S_022_3	1	ENV_Temperature	0.209008	-0.000460	-0.209468	0.556444	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_94_16S_022_3	ASV_433_16S_022_3	1	ENV_Temperature	0.387261	0.000000	-0.387261	0.666334	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_101_16S_022_3	ASV_433_16S_022_3	1	ENV_Temperature	0.364511	-0.001829	-0.366340	0.111888	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_95_16S_022_3	ASV_443_16S_022_3	1	ENV_Temperature	0.472324	0.259525	-0.212799	0.723277	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_342_16S_022_3	ASV_443_16S_022_3	1	ENV_Temperature	0.583064	0.520514	-0.062550	0.779221	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_336_16S_022_3	ASV_446_16S_022_3	1	ENV_Temperature	0.678126	0.069404	-0.608721	0.224775	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_361_16S_022_3	ASV_446_16S_022_3	1	ENV_Temperature	0.827085	0.177752	-0.649333	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_399_16S_022_3	ASV_446_16S_022_3	1	ENV_Temperature	0.750859	0.117034	-0.633826	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_252_16S_022_3	ASV_485_16S_022_3	1	ENV_Temperature	0.365652	0.054468	-0.311184	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_322_16S_022_3	ASV_498_16S_022_3	1	ENV_Temperature	0.741540	0.072097	-0.669443	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
ASV_131_16S_022_3	ASV_520_16S_022_3	1	ENV_Temperature	0.721882	0.056415	-0.665466	0.000999	3.000000	1.000000	0	0	1	1.000000	0.000000	0.000000
