Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_119_16S_022_3	ASV_199_16S_022_3	0.815240383148193	1	0.639288	0.424001	nan	3	1	1
ASV_148_16S_022_3	ASV_204_16S_022_3	0.538835227489471	1	0.505925	0.406950	nan	3	1	1
ASV_163_16S_022_3	ASV_204_16S_022_3	0.631073494732725	1	0.604655	0.422286	nan	3	1	1
ASV_58_16S_022_3	ASV_210_16S_022_3	0.630467772483826	1	0.231575	0.774833	nan	3	1	1
ASV_204_16S_022_3	ASV_212_16S_022_3	0.872970970669438	1	0.841473	0.210118	nan	3	1	1
ASV_59_16S_022_3	ASV_214_16S_022_3	0.761008845638064	1	0.452202	-0.100109	0.728272	3	1	1
ASV_14_16S_022_3	ASV_217_16S_022_3	0.62775	1	0.611976	-0.285499	0.091908	3	1	1
ASV_197_16S_022_3	ASV_225_16S_022_3	0.975269947788812	1	0.855975	0.168260	nan	3	1	1
ASV_2_16S_022_3	ASV_226_16S_022_3	0.53177615961523	1	0.390241	-0.153833	0.000999	3	1	1
ASV_81_16S_022_3	ASV_226_16S_022_3	0.701210164936012	1	0.670400	-0.101409	0.455544	3	1	1
ASV_154_16S_022_3	ASV_227_16S_022_3	0.557167172431946	1	0.799421	-0.668850	0.091908	3	1	1
ASV_160_16S_022_3	ASV_233_16S_022_3	0.990538859628519	1	0.894476	-0.748369	0.364635	3	1	1
ASV_110_16S_022_3	ASV_235_16S_022_3	0.704398930072784	1	0.764674	0.226465	nan	3	1	1
ASV_26_16S_022_3	ASV_237_16S_022_3	0.668489992618561	1	0.652313	-0.123992	0.728272	3	1	1
ASV_128_16S_022_3	ASV_238_16S_022_3	0.738723266670667	1	0.889797	-0.856008	0.000999	3	1	1
ASV_67_16S_022_3	ASV_246_16S_022_3	-0.824152597134301	1	0.403475	-0.137652	0.273726	3	1	1
ASV_35_16S_022_3	ASV_249_16S_022_3	0.625333250366655	1	0.540925	-0.235219	0.182817	3	1	1
ASV_37_16S_022_3	ASV_249_16S_022_3	0.857808496152068	1	0.349844	-0.139757	0.364635	3	1	1
ASV_237_16S_022_3	ASV_249_16S_022_3	0.575781610343098	1	0.528721	-0.313613	0.728272	3	1	1
