Source	Target	association_score	MutualInformation	num_Triplets	percentage_co_occurrence
ASV_1076_16S_3_200	OTU_2557_18S_3_200	0.647562086582184	0.656858	0	80
ASV_1087_16S_022_3	ASV_1855_16S_022_3	-0.569466789961767	0.567243	0	71.428571
ASV_1087_16S_022_3	ASV_1963_16S_3_200	0.813724756240845	0.625005	0	83.333333
ASV_1088_16S_022_3	OTU_997_18S_3_200	0.719720855082893	0.439968	0	50
ASV_109_16S_022_3	ASV_327_16S_022_3	-0.552551238741182	0.535331	0	13.043478
ASV_109_16S_022_3	ASV_35_16S_3_200	0.532379627227783	0.599031	0	84.210526
ASV_109_16S_022_3	ASV_408_16S_022_3	0.56431120634079	0.395583	0	62.5
ASV_1092_16S_022_3	ASV_1426_16S_022_3	0.538232217249535	0.577508	0	66.666667
ASV_1092_16S_022_3	ASV_255_16S_3_200	0.535272717475891	0.415326	0	63.636364
ASV_1092_16S_022_3	OTU_92_18S_022_3	-0.828171899213274	0.434209	0	8.695652
ASV_1094_16S_022_3	ASV_1269_16S_022_3	0.626674652099609	0.635907	0	75
ASV_1094_16S_022_3	ASV_1490_16S_022_3	0.62137758731842	0.622539	0	72.727273
ASV_1094_16S_022_3	ASV_1498_16S_022_3	0.637260012994201	0.666685	0	83.333333
ASV_1094_16S_022_3	ASV_1675_16S_3_200	0.551179707050323	0.680302	0	72.727273
ASV_1094_16S_022_3	OTU_277_18S_3_200	0.567706418056777	0.576677	0	60
ASV_11_16S_022_3	ASV_163_16S_022_3	0.583691615358397	0.695917	0	93.333333
ASV_11_16S_022_3	ASV_503_16S_022_3	0.634228341040297	0.995256	0	93.333333
ASV_11_16S_022_3	ASV_517_16S_022_3	0.557122945839839	0.862689	0	92.857143
ASV_11_16S_022_3	ASV_553_16S_022_3	0.687030632008765	0.816201	0	92.857143
ASV_110_16S_022_3	ASV_235_16S_022_3	0.704398930072784	0.764674	0	100
ASV_110_16S_022_3	ASV_325_16S_022_3	0.59889028273615	0.684101	0	100
ASV_110_16S_022_3	ASV_449_16S_022_3	0.799998291550906	0.700397	0	100
ASV_110_16S_022_3	ASV_537_16S_3_200	0.526852803251069	0.701606	0	93.75
ASV_1105_16S_022_3	ASV_2068_16S_022_3	0.58860182762146	0.597818	0	70
ASV_1106_16S_022_3	ASV_1344_16S_022_3	0.726465235646283	0.439968	0	57.142857
ASV_1106_16S_022_3	OTU_287_18S_022_3	0.801068828794812	0.435861	0	60
ASV_1107_16S_022_3	ASV_1706_16S_022_3	0.544402007001901	0.639537	0	70
ASV_1107_16S_022_3	ASV_2030_16S_022_3	0.636467695236206	0.611976	0	77.777778
ASV_1107_16S_022_3	OTU_430_18S_3_200	0.580299861124065	0.533073	0	66.666667
ASV_1108_16S_022_3	ASV_1748_16S_022_3	-0.652000248432159	0.70636	0	85.714286
ASV_1108_16S_022_3	OTU_2489_18S_3_200	0.671406745910645	0.682767	0	71.428571
ASV_111_16S_022_3	OTU_347_18S_022_3	-0.788955442158714	0.281302	0	8.695652
ASV_111_16S_022_3	OTU_5446_18S_022_3	-0.614901304244995	0.357982	0	8.695652
ASV_1110_16S_022_3	ASV_1244_16S_022_3	0.64741975069046	0.356297	0	60
ASV_1110_16S_022_3	ASV_1633_16S_022_3	0.632971825744412	0.46177	0	80
ASV_1115_16S_022_3	OTU_550_18S_3_200	0.74928	0.49773	0	80
ASV_1117_16S_022_3	ASV_1781_16S_022_3	0.56779	0.789639	0	88.888889
ASV_112_16S_022_3	ASV_888_16S_3_200	0.52209997177124	0.519532	0	57.142857
ASV_112_16S_022_3	OTU_5407_18S_3_200	0.905560493419565	0.435861	0	60
ASV_1125_16S_022_3	ASV_1748_16S_022_3	0.838762164115906	0.764122	0	100
