Source	Target	association_score	num_Triplets	percentage_co_occurrence
ASV_2_16S_022_3	ASV_6_16S_022_3	0.6092888712883	0	90.909091
ASV_3_16S_022_3	ASV_7_16S_022_3	0.94186262846594	0	91.304348
ASV_3_16S_022_3	ASV_8_16S_022_3	0.623721420764923	0	91.304348
ASV_4_16S_022_3	ASV_13_16S_022_3	0.864403307437897	0	100.000000
ASV_13_16S_022_3	ASV_14_16S_022_3	0.670509357094355	0	95.238095
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062	0	100.000000
ASV_19_16S_022_3	ASV_23_16S_022_3	0.552891969680786	0	94.444444
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607	0	81.818182
ASV_26_16S_022_3	ASV_35_16S_022_3	0.92380827665329	0	100.000000
ASV_20_16S_022_3	ASV_47_16S_022_3	-0.531857123834532	0	69.565217
ASV_44_16S_022_3	ASV_51_16S_022_3	0.767334100113716	0	90.909091
ASV_47_16S_022_3	ASV_57_16S_022_3	0.712561625897653	0	94.117647
ASV_34_16S_022_3	ASV_60_16S_022_3	0.77471649646759	0	89.473684
ASV_9_16S_022_3	ASV_65_16S_022_3	0.683823861586373	0	90.000000
ASV_34_16S_022_3	ASV_72_16S_022_3	0.62001109814453	0	94.736842
ASV_30_16S_022_3	ASV_81_16S_022_3	0.891857623946993	0	95.000000
ASV_32_16S_022_3	ASV_81_16S_022_3	0.65997352982908	0	94.736842
ASV_27_16S_022_3	ASV_83_16S_022_3	0.923680484294891	0	100.000000
ASV_78_16S_022_3	ASV_83_16S_022_3	0.732268466718171	0	95.000000
ASV_14_16S_022_3	ASV_89_16S_022_3	0.521396746476525	0	100.000000
ASV_25_16S_022_3	ASV_89_16S_022_3	0.526125609874725	0	95.238095
ASV_32_16S_022_3	ASV_93_16S_022_3	0.784914103977978	0	100.000000
ASV_88_16S_022_3	ASV_101_16S_022_3	0.640389978885651	0	83.333333
ASV_8_16S_022_3	ASV_105_16S_022_3	0.662272691726685	0	100.000000
ASV_57_16S_022_3	ASV_122_16S_022_3	-0.52477	0	43.478261
ASV_119_16S_022_3	ASV_122_16S_022_3	0.592810332775116	0	83.333333
ASV_57_16S_022_3	ASV_123_16S_022_3	0.608934562011144	0	93.750000
ASV_99_16S_022_3	ASV_123_16S_022_3	0.932683520934783	0	100.000000
ASV_66_16S_022_3	ASV_124_16S_022_3	0.536862907983249	0	90.909091
ASV_19_16S_022_3	ASV_126_16S_022_3	0.601227879524231	0	100.000000
ASV_68_16S_022_3	ASV_128_16S_022_3	0.877995163698924	0	94.117647
ASV_9_16S_022_3	ASV_129_16S_022_3	0.529352128505707	0	90.000000
ASV_75_16S_022_3	ASV_129_16S_022_3	0.56883	0	94.736842
ASV_10_16S_022_3	ASV_131_16S_022_3	0.758543400602286	0	100.000000
ASV_45_16S_022_3	ASV_135_16S_022_3	0.778719953626876	0	95.454545
ASV_66_16S_022_3	ASV_139_16S_022_3	0.602671940177078	0	83.333333
ASV_23_16S_022_3	ASV_149_16S_022_3	0.683844858476171	0	88.235294
ASV_2_16S_022_3	ASV_156_16S_022_3	0.77471512556076	0	95.238095
ASV_33_16S_022_3	ASV_156_16S_022_3	0.753299897600427	0	100.000000
ASV_54_16S_022_3	ASV_156_16S_022_3	0.875134220628464	0	100.000000
ASV_15_16S_022_3	ASV_158_16S_022_3	0.520798861980438	0	89.473684
ASV_93_16S_022_3	ASV_160_16S_022_3	0.554896877280998	0	94.444444
ASV_144_16S_022_3	ASV_161_16S_022_3	0.830075085163116	0	100.000000
ASV_11_16S_022_3	ASV_163_16S_022_3	0.583691615358397	0	93.333333
ASV_45_16S_022_3	ASV_164_16S_022_3	0.824802380709697	0	100.000000
ASV_131_16S_022_3	ASV_164_16S_022_3	-0.61873	0	91.304348
ASV_17_16S_022_3	ASV_166_16S_022_3	0.586653411388397	0	82.608696
ASV_61_16S_022_3	ASV_168_16S_022_3	0.52789443731308	0	54.545455
ASV_50_16S_022_3	ASV_169_16S_022_3	-0.555363557565027	0	39.130435
ASV_72_16S_022_3	ASV_169_16S_022_3	0.911231224982028	0	94.736842
ASV_65_16S_022_3	ASV_175_16S_022_3	0.590146362781525	0	88.888889
ASV_123_16S_022_3	ASV_175_16S_022_3	0.531827990430551	0	93.750000
ASV_25_16S_022_3	ASV_185_16S_022_3	0.608330190181732	0	75.000000
ASV_122_16S_022_3	ASV_185_16S_022_3	0.559521284371017	0	88.235294
ASV_32_16S_022_3	ASV_187_16S_022_3	0.549963662477221	0	88.888889
ASV_74_16S_022_3	ASV_192_16S_022_3	0.654264535830193	0	78.571429
ASV_75_16S_022_3	ASV_193_16S_022_3	0.857553064823151	0	100.000000
ASV_61_16S_022_3	ASV_196_16S_022_3	0.627816379070282	0	60.000000
ASV_2_16S_022_3	ASV_197_16S_022_3	-0.632649421691895	0	65.217391
ASV_119_16S_022_3	ASV_199_16S_022_3	0.815240383148193	0	88.235294
ASV_148_16S_022_3	ASV_204_16S_022_3	0.538835227489471	0	83.333333
ASV_163_16S_022_3	ASV_204_16S_022_3	0.631073494732725	0	88.235294
ASV_58_16S_022_3	ASV_210_16S_022_3	0.630467772483826	0	40.909091
ASV_204_16S_022_3	ASV_212_16S_022_3	0.872970970669438	0	100.000000
ASV_59_16S_022_3	ASV_214_16S_022_3	0.761008845638064	0	100.000000
ASV_14_16S_022_3	ASV_217_16S_022_3	0.62775	0	95.238095
ASV_197_16S_022_3	ASV_225_16S_022_3	0.975269947788812	0	100.000000
ASV_2_16S_022_3	ASV_226_16S_022_3	0.53177615961523	0	90.476190
ASV_81_16S_022_3	ASV_226_16S_022_3	0.701210164936012	0	100.000000
ASV_154_16S_022_3	ASV_227_16S_022_3	0.557167172431946	0	91.666667
ASV_160_16S_022_3	ASV_233_16S_022_3	0.990538859628519	0	100.000000
ASV_110_16S_022_3	ASV_235_16S_022_3	0.704398930072784	0	100.000000
ASV_26_16S_022_3	ASV_237_16S_022_3	0.668489992618561	0	85.714286
ASV_128_16S_022_3	ASV_238_16S_022_3	0.738723266670667	0	76.470588
ASV_67_16S_022_3	ASV_246_16S_022_3	-0.824152597134301	0	30.434783
