Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
ASV_1312_16S_022_3	OTU_4257_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_1312_16S_022_3	OTU_533_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Opalozoa
ASV_1404_16S_022_3	ASV_1598_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1422_16S_3_200	OTU_2605_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Haptophyta
ASV_1422_16S_3_200	OTU_5496_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Ochrophyta
ASV_1422_16S_3_200	OTU_954_18S_3_200	2	66.67	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_1424_16S_022_3	OTU_1312_18S_3_200	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Cercozoa
ASV_1424_16S_3_200	OTU_2099_18S_3_200	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Ciliophora
ASV_1540_16S_022_3	OTU_1744_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_1542_16S_3_200	ASV_1735_16S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Gammaproteobacteria
ASV_155_16S_022_3	ASV_1165_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_155_16S_022_3	ASV_260_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_155_16S_022_3	ASV_336_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_155_16S_022_3	ASV_659_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_155_16S_022_3	ASV_783_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_159_16S_022_3	ASV_375_16S_022_3	3	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1598_16S_022_3	ASV_2183_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_1598_16S_022_3	ASV_2271_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_16_16S_022_3	OTU_1314_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Ciliophora
ASV_160_16S_022_3	ASV_233_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_160_16S_022_3	ASV_362_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_163_16S_022_3	ASV_216_16S_022_3	1	33.33	Bacteria	Bacteroidota	Bacteria	Bacteroidota
ASV_1682_16S_022_3	OTU_472_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Pseudofungi
ASV_17_16S_3_200	OTU_3299_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_171_16S_022_3	OTU_1217_18S_022_3	2	66.67	Bacteria	Bacteroidota	Eukaryota	Sagenista
ASV_172_16S_022_3	OTU_59_18S_022_3	3	100	Bacteria	Cyanobacteria	Eukaryota	Radiolaria
ASV_1735_16S_3_200	OTU_138_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_175_16S_022_3	ASV_282_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_1752_16S_022_3	OTU_78_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_1786_16S_022_3	ASV_109_16S_3_200	1	33.33	Bacteria	Bdellovibrionota	Bacteria	Bacteroidota
ASV_1807_16S_022_3	OTU_100_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Sagenista
ASV_182_16S_022_3	ASV_271_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_182_16S_022_3	ASV_319_16S_022_3	2	66.67	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_1897_16S_022_3	OTU_3718_18S_3_200	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Ciliophora
ASV_1979_16S_3_200	OTU_2215_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Ciliophora
ASV_1979_16S_3_200	OTU_5167_18S_3_200	2	66.67	Bacteria	Bacteroidota	Eukaryota	Ochrophyta
ASV_198_16S_022_3	ASV_240_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_198_16S_022_3	ASV_362_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_198_16S_022_3	ASV_427_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_200_16S_3_200	ASV_794_16S_3_200	3	100	Bacteria	Planctomycetota	Bacteria	Cyanobacteria
ASV_204_16S_022_3	ASV_224_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_204_16S_022_3	ASV_970_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Alphaproteobacteria
ASV_204_16S_022_3	OTU_154_18S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Eukaryota	Dinoflagellata
ASV_2053_16S_022_3	OTU_365_18S_022_3	1	33.33	Bacteria	Dadabacteria	Eukaryota	Dinoflagellata
ASV_213_16S_022_3	ASV_1866_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Cyanobacteria
ASV_217_16S_022_3	ASV_323_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Bacteroidota
ASV_217_16S_022_3	OTU_217_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_2171_16S_022_3	OTU_1223_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_2183_16S_022_3	OTU_1312_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_2183_16S_022_3	OTU_1956_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Cryptophyta
ASV_219_16S_022_3	ASV_254_16S_022_3	2	66.67	Bacteria	Gammaproteobacteria	Bacteria	Bdellovibrionota
ASV_2247_16S_022_3	OTU_1976_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_225_16S_022_3	OTU_637_18S_022_3	3	100	Bacteria	Gammaproteobacteria	Eukaryota	Sagenista
ASV_225_16S_022_3	OTU_733_18S_022_3	3	100	Bacteria	Gammaproteobacteria	Eukaryota	Opalozoa
ASV_2318_16S_3_200	OTU_2855_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_232_16S_022_3	ASV_404_16S_022_3	2	66.67	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_232_16S_022_3	ASV_405_16S_3_200	2	66.67	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_2325_16S_022_3	OTU_255_18S_3_200	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Cryptophyta
ASV_2325_16S_022_3	OTU_922_18S_022_3	2	66.67	Bacteria	Bdellovibrionota	Eukaryota	Ochrophyta
ASV_237_16S_022_3	OTU_5331_18S_022_3	2	66.67	Bacteria	Cyanobacteria	Eukaryota	Cercozoa
ASV_238_16S_022_3	ASV_1013_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_238_16S_022_3	ASV_1273_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_238_16S_022_3	ASV_970_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_2386_16S_022_3	OTU_321_18S_022_3	2	66.67	Bacteria	Bdellovibrionota	Eukaryota	Dinoflagellata
ASV_2386_16S_022_3	OTU_7554_18S_022_3	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Ochrophyta
ASV_2388_16S_022_3	OTU_325_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_24_16S_022_3	ASV_46_16S_3_200	3	100	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_24_16S_022_3	OTU_5331_18S_022_3	2	66.67	Bacteria	Cyanobacteria	Eukaryota	Cercozoa
ASV_24_16S_022_3	OTU_76_18S_022_3	3	100	Bacteria	Cyanobacteria	Eukaryota	Cercozoa
ASV_241_16S_022_3	ASV_329_16S_022_3	3	100	Bacteria	Bacteroidota	Bacteria	Alphaproteobacteria
ASV_252_16S_022_3	ASV_695_16S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Gammaproteobacteria
ASV_26_16S_022_3	OTU_525_18S_3_200	3	100	Bacteria	Cyanobacteria	Eukaryota	Mesomycetozoa
ASV_260_16S_022_3	ASV_362_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_27_16S_022_3	OTU_1635_18S_022_3	1	33.33	Bacteria	Cyanobacteria	Eukaryota	Pseudofungi
ASV_271_16S_022_3	OTU_1860_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Apicomplexa
ASV_275_16S_022_3	OTU_3462_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_280_16S_3_200	OTU_181_18S_3_200	3	100	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_282_16S_022_3	ASV_1413_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_284_16S_022_3	ASV_2403_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_29_16S_022_3	OTU_3293_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Apicomplexa
ASV_29_16S_022_3	OTU_4257_18S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
ASV_29_16S_022_3	OTU_526_18S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Dinoflagellata
ASV_293_16S_022_3	OTU_1366_18S_022_3	1	33.33	Bacteria	Planctomycetota	Eukaryota	Ciliophora
ASV_299_16S_022_3	ASV_341_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Planctomycetota
ASV_299_16S_022_3	ASV_403_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_302_16S_022_3	OTU_1931_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Opalozoa
ASV_302_16S_022_3	OTU_2561_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Ciliophora
ASV_305_16S_022_3	ASV_1273_16S_022_3	1	33.33	Archaea	Thermoplasmatota	Bacteria	Alphaproteobacteria
ASV_306_16S_022_3	OTU_3404_18S_3_200	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_313_16S_022_3	OTU_243_18S_022_3	3	100	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_313_16S_022_3	OTU_2880_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Ochrophyta
ASV_314_16S_022_3	ASV_1165_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_314_16S_022_3	ASV_432_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Archaea	Thermoplasmatota
ASV_314_16S_022_3	OTU_1480_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_318_16S_022_3	ASV_879_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_318_16S_022_3	ASV_896_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_318_16S_022_3	ASV_958_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_318_16S_022_3	OTU_598_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_318_16S_022_3	OTU_784_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_319_16S_022_3	OTU_2144_18S_3_200	1	33.33	Bacteria	Bacteroidota	Eukaryota	Pseudofungi
ASV_322_16S_022_3	ASV_418_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_322_16S_022_3	ASV_498_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_322_16S_022_3	OTU_249_18S_3_200	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_328_16S_022_3	ASV_342_16S_022_3	1	33.33	Bacteria	Cyanobacteria	Bacteria	Cyanobacteria
ASV_329_16S_022_3	OTU_243_18S_022_3	3	100	Bacteria	Alphaproteobacteria	Eukaryota	Cercozoa
ASV_330_16S_022_3	ASV_1499_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_330_16S_022_3	ASV_400_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Bacteroidota
ASV_330_16S_022_3	ASV_970_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_336_16S_022_3	ASV_446_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_342_16S_022_3	ASV_443_16S_022_3	1	33.33	Bacteria	Cyanobacteria	Bacteria	Gammaproteobacteria
ASV_346_16S_022_3	ASV_520_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_361_16S_022_3	ASV_1013_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_361_16S_022_3	ASV_427_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_361_16S_022_3	ASV_446_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_362_16S_022_3	ASV_890_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_362_16S_022_3	OTU_61_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_375_16S_022_3	OTU_957_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Dinoflagellata
ASV_376_16S_022_3	ASV_393_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Gammaproteobacteria
ASV_38_16S_022_3	ASV_1048_16S_3_200	3	100	Bacteria	Actinobacteriota	Bacteria	Gammaproteobacteria
ASV_39_16S_022_3	ASV_620_16S_022_3	1	33.33	Bacteria	Marinimicrobia (SAR406 clade)	Bacteria	Bacteroidota
ASV_393_16S_022_3	ASV_404_16S_022_3	2	66.67	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_394_16S_022_3	ASV_1277_16S_022_3	1	33.33	Bacteria	Cyanobacteria	Bacteria	Bdellovibrionota
ASV_394_16S_022_3	ASV_886_16S_022_3	1	33.33	Bacteria	Cyanobacteria	Bacteria	Alphaproteobacteria
ASV_395_16S_022_3	ASV_963_16S_022_3	2	66.67	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_399_16S_022_3	ASV_446_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_399_16S_022_3	OTU_372_18S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_399_16S_022_3	OTU_4685_18S_3_200	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Opalozoa
ASV_403_16S_022_3	OTU_309_18S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Sagenista
ASV_404_16S_022_3	ASV_567_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Actinobacteriota
ASV_405_16S_022_3	ASV_1102_16S_022_3	3	100	Bacteria	Gammaproteobacteria	Bacteria	unknown 16S
ASV_425_16S_022_3	OTU_332_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_425_16S_022_3	OTU_641_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Haptophyta
ASV_427_16S_022_3	ASV_1413_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_427_16S_022_3	ASV_652_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_43_16S_022_3	ASV_173_16S_022_3	3	100	Bacteria	Actinobacteriota	Bacteria	Gammaproteobacteria
ASV_43_16S_022_3	OTU_33_18S_022_3	3	100	Bacteria	Actinobacteriota	Eukaryota	Dinoflagellata
ASV_438_16S_022_3	OTU_1681_18S_3_200	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Ciliophora
ASV_438_16S_022_3	OTU_3816_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Stramenopiles_X
ASV_446_16S_022_3	ASV_1013_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_448_16S_3_200	OTU_836_18S_3_200	2	66.67	Bacteria	Bacteroidota	Eukaryota	Cercozoa
ASV_46_16S_022_3	OTU_124_18S_3_200	3	100	Bacteria	Cyanobacteria	Eukaryota	Opalozoa
ASV_46_16S_3_200	ASV_669_16S_3_200	3	100	Bacteria	Cyanobacteria	Bacteria	Bacteroidota
ASV_489_16S_022_3	ASV_1090_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_49_16S_022_3	ASV_306_16S_022_3	3	100	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_49_16S_022_3	OTU_131_18S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_498_16S_022_3	ASV_1887_16S_022_3	2	66.67	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_498_16S_022_3	ASV_911_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_508_16S_3_200	OTU_2478_18S_3_200	1	33.33	Bacteria	Bdellovibrionota	Eukaryota	Dinoflagellata
ASV_513_16S_022_3	ASV_526_16S_022_3	1	33.33	Bacteria	WPS-2	Bacteria	Gammaproteobacteria
ASV_513_16S_022_3	ASV_604_16S_022_3	1	33.33	Bacteria	WPS-2	Bacteria	Gammaproteobacteria
ASV_513_16S_022_3	OTU_6185_18S_3_200	1	33.33	Bacteria	WPS-2	Eukaryota	Dinoflagellata
ASV_515_16S_3_200	ASV_1735_16S_3_200	1	33.33	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_528_16S_022_3	ASV_619_16S_022_3	1	33.33	Bacteria	Gammaproteobacteria	Bacteria	Alphaproteobacteria
ASV_557_16S_022_3	OTU_2897_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_56_16S_022_3	ASV_125_16S_022_3	2	66.67	Bacteria	Cyanobacteria	Bacteria	Gammaproteobacteria
ASV_56_16S_022_3	ASV_219_16S_022_3	2	66.67	Bacteria	Cyanobacteria	Bacteria	Gammaproteobacteria
ASV_567_16S_022_3	OTU_1546_18S_3_200	1	33.33	Bacteria	Actinobacteriota	Eukaryota	Cercozoa
ASV_573_16S_022_3	ASV_1113_16S_022_3	1	33.33	Bacteria	Bacteroidota	Bacteria	Gammaproteobacteria
ASV_58_16S_022_3	OTU_1565_18S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Eukaryota	Ochrophyta
ASV_594_16S_022_3	OTU_1435_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_594_16S_022_3	OTU_2204_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Dinoflagellata
ASV_594_16S_022_3	OTU_341_18S_022_3	1	33.33	Bacteria	Bacteroidota	Eukaryota	Sagenista
ASV_598_16S_022_3	ASV_1807_16S_022_3	1	33.33	Bacteria	Alphaproteobacteria	Bacteria	Alphaproteobacteria
ASV_600_16S_3_200	OTU_1081_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Picozoa
ASV_600_16S_3_200	OTU_1640_18S_3_200	1	33.33	Bacteria	Gammaproteobacteria	Eukaryota	Cercozoa
