Source	Target	association_score
ASV_228_16S_022_3	ASV_287_16S_022_3	0.998407712984974
ASV_276_16S_022_3	ASV_289_16S_022_3	-0.564036071300507
ASV_217_16S_022_3	ASV_290_16S_022_3	0.698131203651428
ASV_6_16S_022_3	ASV_298_16S_022_3	0.52712
ASV_204_16S_022_3	ASV_298_16S_022_3	-0.616472464588262
ASV_122_16S_022_3	ASV_299_16S_022_3	-0.615206821148181
ASV_88_16S_022_3	ASV_300_16S_022_3	0.558212637901306
ASV_248_16S_022_3	ASV_300_16S_022_3	0.58943784236908
ASV_123_16S_022_3	ASV_301_16S_022_3	0.858396913212981
ASV_179_16S_022_3	ASV_304_16S_022_3	0.657195687294006
ASV_206_16S_022_3	ASV_304_16S_022_3	0.8971728682518
ASV_184_16S_022_3	ASV_306_16S_022_3	0.68226874551345
ASV_6_16S_022_3	ASV_307_16S_022_3	0.681625562569206
ASV_162_16S_022_3	ASV_308_16S_022_3	-0.891894161701202
ASV_299_16S_022_3	ASV_308_16S_022_3	0.529218137934036
ASV_97_16S_022_3	ASV_309_16S_022_3	0.856187625539886
ASV_145_16S_022_3	ASV_311_16S_022_3	0.626801252365112
ASV_154_16S_022_3	ASV_316_16S_022_3	0.921032865594157
ASV_67_16S_022_3	ASV_317_16S_022_3	0.632342854444799
ASV_97_16S_022_3	ASV_317_16S_022_3	0.840700273022928
ASV_189_16S_022_3	ASV_318_16S_022_3	-0.666919765898783
ASV_161_16S_022_3	ASV_320_16S_022_3	0.610999364332116
ASV_35_16S_022_3	ASV_324_16S_022_3	0.580836176872253
ASV_89_16S_022_3	ASV_324_16S_022_3	0.778015673160553
ASV_92_16S_022_3	ASV_325_16S_022_3	0.918775737285614
ASV_110_16S_022_3	ASV_325_16S_022_3	0.59889028273615
ASV_109_16S_022_3	ASV_327_16S_022_3	-0.552551238741182
ASV_152_16S_022_3	ASV_328_16S_022_3	0.712233345012876
ASV_130_16S_022_3	ASV_331_16S_022_3	0.563628792762756
ASV_162_16S_022_3	ASV_334_16S_022_3	-0.653156886953715
ASV_126_16S_022_3	ASV_335_16S_022_3	0.524992048862802
ASV_149_16S_022_3	ASV_335_16S_022_3	0.61451
ASV_65_16S_022_3	ASV_337_16S_022_3	0.793156017683715
ASV_291_16S_022_3	ASV_340_16S_022_3	0.958724949583442
ASV_276_16S_022_3	ASV_343_16S_022_3	-0.730718720723102
ASV_235_16S_022_3	ASV_345_16S_022_3	0.728875696659088
ASV_262_16S_022_3	ASV_347_16S_022_3	0.855201482772827
ASV_50_16S_022_3	ASV_351_16S_022_3	0.542472599579001
ASV_175_16S_022_3	ASV_357_16S_022_3	0.656689811757063
ASV_121_16S_022_3	ASV_358_16S_022_3	0.788085993529516
ASV_216_16S_022_3	ASV_358_16S_022_3	-0.536342562360786
ASV_193_16S_022_3	ASV_360_16S_022_3	0.760752868717725
ASV_233_16S_022_3	ASV_362_16S_022_3	0.950029373168945
ASV_246_16S_022_3	ASV_362_16S_022_3	0.56574
ASV_277_16S_022_3	ASV_362_16S_022_3	-0.52640026807785
ASV_274_16S_022_3	ASV_365_16S_022_3	0.525131046772003
ASV_345_16S_022_3	ASV_365_16S_022_3	0.739086866378784
ASV_138_16S_022_3	ASV_369_16S_022_3	0.664310388037154
ASV_267_16S_022_3	ASV_379_16S_022_3	0.552697013899815
ASV_157_16S_022_3	ASV_381_16S_022_3	0.544515669345856
ASV_66_16S_022_3	ASV_383_16S_022_3	0.67673796415329
ASV_320_16S_022_3	ASV_386_16S_022_3	0.615967940486595
ASV_260_16S_022_3	ASV_387_16S_022_3	0.85853034205904
ASV_21_16S_022_3	ASV_388_16S_022_3	0.528603792190552
ASV_7_16S_022_3	ASV_390_16S_022_3	-0.524275662360035
