Source	Target	Weight	MutualInformation	num_Triplets	percentage_co_occurrence	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458	0.472153	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
ASV_1032_16S_022_3	ASV_1669_16S_022_3	0.560917383057927	0.415579	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0
ASV_1032_16S_022_3	OTU_1736_18S_022_3	0.743421736856035	0.516096	0	57.142857	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0
ASV_1032_16S_022_3	OTU_201_18S_022_3	0.535889921330065	0.61545	0	71.428571	0	1	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	0
ASV_1033_16S_022_3	ASV_1690_16S_022_3	0.787841975688934	0.663959	0	83.333333	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	1	0	0
ASV_1035_16S_022_3	ASV_1787_16S_022_3	0.748088103142086	0.368211	0	50	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083	0.788383	0	100	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	1	0	0	0	0	1
ASV_1040_16S_022_3	OTU_1479_18S_3_200	0.64392626285553	0.605896	0	75	0	0	1	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	0	0	1
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337	0.602995	0	75	0	1	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	0
ASV_1053_16S_022_3	OTU_3627_18S_022_3	0.70042	0.622336	0	87.5	0	1	1	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ASV_1053_16S_022_3	OTU_58_18S_022_3	0.55091392993927	0.515219	0	61.538462	0	1	1	1	0	0	0	1	0	0	0	0	1	1	1	0	0	0	0	0	1	0
ASV_1056_16S_022_3	ASV_1033_16S_3_200	0.736313880762559	0.533567	0	57.142857	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	0
ASV_1056_16S_022_3	OTU_638_18S_022_3	-0.568535327911377	0.376939	0	4.545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
ASV_1056_16S_022_3	OTU_71_18S_022_3	-0.538064062595367	0.593841	0	4.545455	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934	0.497912	0	71.428571	0	0	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0
ASV_106_16S_022_3	ASV_1991_16S_022_3	0.979090739343034	0.70536	0	100	0	1	1	0	0	1	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	0
ASV_1069_16S_022_3	OTU_1062_18S_022_3	0.969961762428284	0.496044	0	80	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_1069_16S_022_3	OTU_1616_18S_022_3	0.599373757839203	0.41302	0	66.666667	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_1069_16S_022_3	OTU_252_18S_3_200	0.551899433135986	0.342902	0	60	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1069_16S_022_3	OTU_391_18S_022_3	0.587928712368011	0.342902	0	60	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
ASV_1070_16S_022_3	ASV_1319_16S_022_3	0.743521801587646	0.505888	0	71.428571	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	1
ASV_1070_16S_022_3	ASV_1868_16S_022_3	0.79435357068309	0.460389	0	71.428571	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	1	1	0
ASV_1073_16S_022_3	ASV_1875_16S_022_3	0.726201832294464	0.584911	0	77.777778	0	1	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	1	1	0	0
ASV_1073_16S_022_3	OTU_1052_18S_022_3	0.780467908398502	0.411879	0	62.5	0	1	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0
ASV_1073_16S_022_3	OTU_1965_18S_022_3	0.769519090652466	0.516999	0	70	0	1	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0
ASV_1074_16S_022_3	OTU_1057_18S_022_3	-0.748991819247224	0.35092	0	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1080_16S_022_3	OTU_1361_18S_3_200	0.756994182045542	0.459698	0	60	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0
ASV_1080_16S_022_3	OTU_424_18S_3_200	0.756240058485762	0.618548	0	90.909091	1	0	0	1	1	1	0	0	1	1	0	1	0	0	0	0	0	1	0	1	1	0
ASV_1086_16S_022_3	OTU_1604_18S_022_3	0.885663555941819	0.496044	0	66.666667	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ASV_1086_16S_022_3	OTU_3069_18S_022_3	0.611766189743258	0.448675	0	60	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ASV_1086_16S_022_3	OTU_3627_18S_022_3	0.796322822570801	0.473294	0	57.142857	0	0	0	1	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0
ASV_1086_16S_022_3	OTU_3836_18S_3_200	0.66809	0.448675	0	60	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
ASV_1093_16S_022_3	ASV_1958_16S_022_3	0.996021024952422	0.933911	0	100	0	1	1	1	1	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	1	0
ASV_1095_16S_022_3	OTU_4047_18S_022_3	0.754316185800445	0.56463	0	78.571429	0	0	1	1	0	1	0	1	1	0	1	0	0	1	1	1	0	0	0	1	0	1
ASV_1102_16S_022_3	OTU_600_18S_022_3	0.59395	0.483797	0	83.333333	1	1	1	1	1	1	0	0	1	1	0	0	0	0	1	1	1	1	1	0	1	1
ASV_111_16S_022_3	ASV_299_16S_022_3	0.836897810540674	0.649938	0	95	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
ASV_111_16S_022_3	ASV_395_16S_022_3	0.956461250782013	0.806566	0	100	1	1	1	1	1	1	0	1	1	0	1	1	1	0	1	1	1	1	1	1	1	1
ASV_111_16S_022_3	OTU_2256_18S_022_3	-0.746156236263447	0.357936	0	27.272727	0	1	1	0	0	1	0	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0
ASV_1112_16S_022_3	OTU_1325_18S_3_200	0.54906176028937	0.560495	0	66.666667	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1112_16S_022_3	OTU_1474_18S_3_200	0.853666527318311	0.669502	0	88.888889	1	0	1	1	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1
ASV_1112_16S_022_3	OTU_3299_18S_3_200	0.60941	0.516962	0	75	1	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ASV_1122_16S_022_3	OTU_4097_18S_3_200	0.851213357995359	0.497622	0	71.428571	0	0	1	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0
ASV_1122_16S_022_3	OTU_510_18S_022_3	0.654452979564667	0.394749	0	62.5	0	0	1	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0
ASV_1122_16S_022_3	OTU_579_18S_022_3	-0.786452814503677	0.31116	0	13.636364	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_1123_16S_022_3	OTU_421_18S_022_3	0.653246104717255	0.536126	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1
ASV_113_16S_022_3	ASV_113_16S_3_200	0.809512818739816	0.373265	0	83.333333	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	0
ASV_113_16S_3_200	OTU_2608_18S_3_200	-0.63808	0.336307	0	4.761905	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
ASV_1132_16S_022_3	ASV_1329_16S_022_3	0.821829681139993	0.685718	0	77.777778	0	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0
ASV_1132_16S_022_3	ASV_2096_16S_022_3	0.754130363437297	0.757315	0	70	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0
ASV_1133_16S_022_3	OTU_450_18S_022_3	0.732835942343326	0.623643	0	73.333333	1	1	1	0	0	1	0	1	1	0	1	1	1	0	0	1	0	0	0	0	1	0
ASV_1151_16S_022_3	ASV_1682_16S_022_3	0.584923326969147	0.438329	0	66.666667	0	1	1	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0
ASV_1151_16S_022_3	OTU_419_18S_022_3	-0.718483924865723	0.251073	0	13.636364	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1156_16S_022_3	OTU_423_18S_022_3	-0.776828406792819	0.537755	0	9.090909	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
ASV_116_16S_022_3	OTU_934_18S_022_3	-0.590424120426178	0.29443	0	59.090909	1	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0
ASV_1162_16S_022_3	OTU_236_18S_3_200	-0.533300876617432	0.497046	0	18.181818	0	0	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0
ASV_1162_16S_022_3	OTU_2679_18S_022_3	0.749652504084937	0.603686	0	55.555556	0	0	0	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
ASV_1162_16S_022_3	OTU_3666_18S_022_3	0.746443765872557	0.651542	0	70	0	0	0	1	1	1	0	0	1	0	0	1	1	0	0	0	0	0	1	0	0	0
ASV_1165_16S_022_3	OTU_958_18S_022_3	0.798572844105072	0.667882	0	78.571429	1	1	0	1	1	1	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1
ASV_1195_16S_022_3	ASV_1659_16S_022_3	0.616169571876526	0.769043	0	85.714286	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
ASV_1195_16S_022_3	OTU_1848_18S_022_3	0.840143670811308	0.577236	0	75	0	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	0	0
ASV_120_16S_022_3	OTU_1396_18S_022_3	-0.821193192847909	0.397017	0	13.636364	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
ASV_120_16S_022_3	OTU_1966_18S_3_200	-0.563681304454803	0.361025	0	9.52381	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ASV_1211_16S_022_3	OTU_1045_18S_022_3	0.596406579017639	0.368211	0	50	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
ASV_1221_16S_022_3	OTU_2784_18S_3_200	0.554551658846661	0.603686	0	83.333333	0	0	1	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	1	0	0
