ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_410_16S_022_3	0	0	0	0	0	27	17	8	23	17	0	31	184	78	38	28	46	118	243	126	56	37	0
ASV_411_16S_022_3	0	0	0	0	0	0	0	65	145	153	0	0	27	307	0	0	0	238	349	29	33	6	29
ASV_412_16S_022_3	0	0	0	0	0	0	0	21	94	345	0	28	0	56	14	36	62	0	133	60	98	17	4
ASV_413_16S_022_3	0	0	0	0	0	0	0	118	17	154	0	53	0	17	0	0	0	0	0	0	23	14	25
ASV_414_16S_022_3	0	0	0	47	264	27	36	0	0	0	139	18	0	0	36	55	7	5	0	0	0	0	0
ASV_415_16S_022_3	0	0	0	0	0	0	0	0	82	26	0	0	37	49	0	0	0	46	509	480	55	179	0
ASV_416_16S_022_3	0	0	0	12	15	283	32	0	0	0	71	354	0	10	86	55	33	33	31	15	0	0	0
ASV_421_16S_022_3	0	0	0	0	0	0	0	50	183	28	0	24	130	528	0	0	8	87	131	66	122	26	0
ASV_422_16S_022_3	57	16	18	0	0	0	0	33	111	32	0	10	69	110	23	0	0	50	110	97	110	85	191
ASV_424_16S_022_3	0	0	0	0	0	0	0	0	124	39	0	144	72	259	0	0	0	90	84	0	0	0	122
ASV_425_16S_022_3	0	0	0	0	0	57	24	0	0	0	18	128	0	0	33	55	11	17	0	0	0	0	29
ASV_426_16S_022_3	0	0	0	0	0	19	0	0	221	70	0	0	91	426	0	0	0	0	62	83	139	47	43
ASV_427_16S_022_3	0	0	0	0	0	0	0	0	55	0	0	29	28	63	0	0	0	30	39	66	34	0	56
ASV_428_16S_022_3	0	0	0	0	0	0	0	145	94	0	0	254	145	245	0	0	0	120	125	129	90	0	0
ASV_429_16S_022_3	0	0	0	0	0	24	0	0	0	31	27	24	29	22	65	62	25	0	52	42	54	156	0
ASV_430_16S_022_3	0	275	6	0	0	0	0	13	45	13	0	22	48	166	21	62	13	212	191	185	35	20	51
ASV_431_16S_022_3	0	0	0	0	0	0	0	12	0	26	7	19	34	24	0	12	0	7	5	15	0	6	0
ASV_434_16S_022_3	0	0	0	6	0	0	0	304	93	57	43	65	0	0	0	10	0	0	24	0	18	0	0
ASV_437_16S_022_3	0	0	0	0	0	0	0	17	0	16	5	9	19	25	6	0	0	7	0	82	0	42	0
ASV_440_16S_022_3	0	0	0	0	0	13	0	0	17	30	23	48	19	24	9	0	0	30	65	284	318	266	68
ASV_444_16S_022_3	0	0	0	0	0	0	0	27	0	36	77	31	0	0	0	7	0	0	0	0	0	0	0
ASV_445_16S_022_3	0	83	17	12	0	19	0	0	26	23	0	41	0	0	90	14	0	0	13	37	24	18	50
ASV_448_16S_022_3	0	0	0	0	0	0	0	0	0	29	0	0	60	36	7	8	0	9	10	0	10	3	9
ASV_449_16S_022_3	0	0	0	0	0	0	0	53	29	26	42	223	21	62	131	258	116	60	50	8	46	30	15
ASV_452_16S_022_3	0	0	0	0	0	0	0	87	77	54	0	49	55	45	70	123	92	103	119	45	39	43	59
ASV_453_16S_022_3	0	0	0	43	59	60	107	0	0	0	181	103	0	0	148	92	0	0	0	0	0	0	0
ASV_455_16S_022_3	0	0	0	0	0	0	0	34	191	99	0	0	70	242	0	0	0	22	105	60	163	78	58
ASV_456_16S_022_3	0	0	0	0	0	0	0	0	87	79	0	0	0	227	0	0	0	0	0	267	645	112	0
ASV_458_16S_022_3	0	0	16	0	9	28	0	0	0	68	57	184	14	20	19	26	18	13	14	7	13	40	10
ASV_461_16S_022_3	4	0	0	0	0	0	0	43	169	73	0	0	57	318	0	0	0	78	122	22	93	42	0
