ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ENV_daylength	13.38	14.21	15.03	14.98	14.44	12.46	11.17	9.44	10.41	11.62	11.53	10.03	9.42	10.37	12.5	11.58	10.07	9.18	9.58	10.37	11.58	12.88	14.14
ENV_Temperature	14.51	14.96	16.92	21.61	23.58	23.41	21.4	14.28	13.4	13.76	21.3	18.94	14.47	13.05	21.3	19.47	17.64	15.38	13.91	13.61	13.33	13.56	15.57
ENV_Salinity	37.87	37.73	37.62	37.87	37.81	38.12	38.05	38.19	NA	37.92	NA	38.17	37.82	38.09	38.09	38.08	38.2	38.27	38.27	38.28	38.27	38.15	37.89
ENV_NH4	0.58	0.67	1.96	0.85	3.48	0.13	0.43	0.45	0.84	0.2	0.17	0.07	2.62	2.01	0.15	0.37	0.38	0.35	9.98	0.82	3.53	1.73	0.41
ENV_NO2	0.18	0.21	0.17	0.11	0.22	0.06	0.1	0.16	0.27	0.13	0.03	0.03	0.29	0.35	0.05	0.05	0.06	0.18	0.22	0.21	0.38	0.31	0.06
ENV_NO3	0.65	1.37	0.34	0.13	0.24	0.32	0.22	0.77	1.04	0.43	0.21	0.19	3	1.6	0.66	0.34	0.24	0.89	0.72	0.79	1.18	0.8	0.45
ENV_PO4	0.08	0.1	0.1	0.09	0.07	0.08	0.08	0.07	0.1	0.09	0.08	0.05	0.12	0.09	0.05	0.06	0.05	0.06	0.04	0.07	0.05	0.05	0.03
ENV_Si	1.356	1.451	1.249	0.456	0.459	0.712	0.816	0.905	0.973	0.768	0.87	0.814	1.742	1.395	1.846	1.24	0.994	1.756	0.907	0.911	1.311	1.223	1.53
