Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_2_16S_022_3	ASV_6_16S_022_3	0.6092888712883	1	0.485888	0.252195	nan	3	1	1
ASV_3_16S_022_3	ASV_7_16S_022_3	0.94186262846594	1	0.679927	-0.219382	0.134865	3	1	1
ASV_3_16S_022_3	ASV_8_16S_022_3	0.623721420764923	1	0.593437	-0.251967	0.067932	3	1	1
ASV_4_16S_022_3	ASV_13_16S_022_3	0.864403307437897	1	0.617159	-0.081931	0.600400	3	1	1
ASV_13_16S_022_3	ASV_14_16S_022_3	0.670509357094355	1	0.617159	-0.206754	0.666334	3	1	1
ASV_1_16S_022_3	ASV_20_16S_022_3	0.904800415039062	1	0.785546	-0.383281	0.000999	3	1	1
ASV_19_16S_022_3	ASV_23_16S_022_3	0.552891969680786	1	0.629019	-0.334634	0.433566	3	1	1
ASV_1_16S_022_3	ASV_34_16S_022_3	0.582216560840607	1	0.647130	-0.226049	0.368631	3	1	1
ASV_26_16S_022_3	ASV_35_16S_022_3	0.92380827665329	1	0.725830	-0.370033	0.235764	3	1	1
ASV_20_16S_022_3	ASV_47_16S_022_3	-0.531857123834532	1	0.425400	-0.297270	0.268731	3	1	1
ASV_44_16S_022_3	ASV_51_16S_022_3	0.767334100113716	1	0.182496	0.010602	nan	1	0	1
ASV_47_16S_022_3	ASV_57_16S_022_3	0.712561625897653	1	0.737447	-0.562278	0.166833	3	1	1
ASV_34_16S_022_3	ASV_60_16S_022_3	0.77471649646759	1	0.717763	-0.439259	0.301698	3	1	1
ASV_9_16S_022_3	ASV_65_16S_022_3	0.683823861586373	1	0.677322	-0.430953	0.100899	3	1	1
ASV_34_16S_022_3	ASV_72_16S_022_3	0.62001109814453	1	0.758601	-0.461369	0.200799	3	1	1
ASV_30_16S_022_3	ASV_81_16S_022_3	0.891857623946993	1	0.604538	-0.332863	0.168831	3	1	1
ASV_32_16S_022_3	ASV_81_16S_022_3	0.65997352982908	1	0.863480	-0.601917	0.101898	3	1	1
ASV_27_16S_022_3	ASV_83_16S_022_3	0.923680484294891	1	0.649150	-0.239998	0.266733	3	1	1
ASV_78_16S_022_3	ASV_83_16S_022_3	0.732268466718171	1	0.519000	0.119399	nan	3	1	1
ASV_14_16S_022_3	ASV_89_16S_022_3	0.521396746476525	1	0.694425	-0.174336	0.600400	3	1	1
ASV_25_16S_022_3	ASV_89_16S_022_3	0.526125609874725	1	0.810153	-0.154613	0.733267	3	1	1
ASV_32_16S_022_3	ASV_93_16S_022_3	0.784914103977978	1	1.032176	-0.649367	0.100899	3	1	1
ASV_88_16S_022_3	ASV_101_16S_022_3	0.640389978885651	1	0.542557	-0.542557	1.000000	3	1	1
ASV_8_16S_022_3	ASV_105_16S_022_3	0.662272691726685	1	0.381678	0.158314	nan	3	1	1
