Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733	1	0.827085	-0.671058	0.000999	3	1	1
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005	1	0.750859	-0.505107	0.028971	3	1	1
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318	1	0.365652	-0.278897	0.530470	3	1	1
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451	1	0.741540	-0.335933	0.362637	3	1	1
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	1	0.721882	0.172482	nan	3	1	1
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547	1	0.689807	0.157003	nan	3	1	1
ASV_513_16S_022_3	ASV_526_16S_022_3	0.898167879673384	1	0.663959	-0.138692	0.582418	3	1	1
ASV_259_16S_022_3	ASV_534_16S_022_3	0.571564853191376	1	0.484975	-0.205383	0.333666	3	1	1
ASV_356_16S_022_3	ASV_554_16S_022_3	0.821875007808464	1	0.599986	-0.036249	0.527473	3	1	1
ASV_404_16S_022_3	ASV_567_16S_022_3	0.821476590394346	1	0.532561	-0.344826	0.083916	3	1	1
ASV_442_16S_022_3	ASV_572_16S_022_3	0.834374966558984	1	0.610006	0.067738	nan	3	1	1
ASV_513_16S_022_3	ASV_604_16S_022_3	0.638205766677856	1	0.483138	-0.043160	0.528472	3	1	1
ASV_191_16S_022_3	ASV_614_16S_022_3	0.59643552116619	1	0.451722	-0.105704	0.391608	3	1	1
ASV_259_16S_022_3	ASV_618_16S_022_3	0.832971939335272	1	0.576494	-0.121202	0.472527	3	1	1
ASV_528_16S_022_3	ASV_619_16S_022_3	0.877277909425732	1	0.815145	0.487402	nan	3	1	1
ASV_39_16S_022_3	ASV_620_16S_022_3	0.787747759991725	1	0.528327	-0.087480	0.805195	3	1	1
ASV_90_16S_022_3	ASV_626_16S_022_3	0.562155306339264	1	0.481607	-0.148291	0.138861	2	1	1
ASV_600_16S_022_3	ASV_626_16S_022_3	0.759975383747704	1	0.742716	-0.339781	0.305694	3	1	1
ASV_481_16S_022_3	ASV_645_16S_022_3	0.77140093393267	1	0.510817	0.140659	nan	3	1	1
ASV_554_16S_022_3	ASV_645_16S_022_3	0.684720396995544	1	0.413020	0.127611	nan	3	1	1
ASV_510_16S_022_3	ASV_649_16S_022_3	0.531745910644531	1	0.479137	0.072226	nan	2	1	1
ASV_427_16S_022_3	ASV_652_16S_022_3	0.881113648450394	1	0.803074	-0.367861	0.084915	3	1	1
ASV_77_16S_022_3	ASV_653_16S_022_3	0.741600070007248	1	0.334480	-0.257253	0.473526	3	1	1
ASV_155_16S_022_3	ASV_659_16S_022_3	0.983102713068996	1	0.897166	-0.368196	0.167832	3	1	1
ASV_565_16S_022_3	ASV_712_16S_022_3	-0.655871689319611	1	0.555876	-0.208633	0.474525	3	1	1
ASV_712_16S_022_3	ASV_719_16S_022_3	-0.846705506504987	1	0.707928	-0.267950	0.252747	3	1	1
ASV_510_16S_022_3	ASV_726_16S_022_3	0.654107749462128	1	0.584812	-0.399924	0.722278	3	1	1
ASV_733_16S_022_3	ASV_742_16S_022_3	0.926028582493933	1	0.648495	-0.476115	0.472527	3	1	1
ASV_521_16S_022_3	ASV_748_16S_022_3	0.901947533190336	1	0.908152	-0.701054	0.167832	3	1	1
ASV_534_16S_022_3	ASV_748_16S_022_3	0.745245247762314	1	0.678043	-0.025518	0.666334	3	1	1
ASV_681_16S_022_3	ASV_748_16S_022_3	0.757218518264951	1	0.622336	-0.289358	0.526474	3	1	1
ASV_155_16S_022_3	ASV_783_16S_022_3	0.972434219373678	1	0.892896	-0.194667	0.195804	3	1	1
ASV_487_16S_022_3	ASV_826_16S_022_3	0.770200079447663	1	0.565509	-0.271837	0.195804	3	1	1
ASV_394_16S_022_3	ASV_828_16S_022_3	-0.739532602741098	1	0.440424	0.167741	nan	3	1	1
ASV_171_16S_022_3	ASV_830_16S_022_3	-0.785075746366659	1	0.196938	-0.150532	0.000999	1	0	0
ASV_618_16S_022_3	ASV_838_16S_022_3	0.798643463519431	1	0.460004	-0.163324	0.110889	3	1	1
ASV_626_16S_022_3	ASV_849_16S_022_3	0.747067159950179	1	0.695209	-0.750901	0.027972	3	1	1
ASV_318_16S_022_3	ASV_879_16S_022_3	0.936165204463862	1	0.533567	-0.348476	0.557443	3	1	1
ASV_394_16S_022_3	ASV_886_16S_022_3	0.613287320618887	1	0.738445	0.120516	nan	3	1	1
ASV_759_16S_022_3	ASV_886_16S_022_3	0.57037878036499	1	0.645751	-0.319812	0.640360	3	1	1
ASV_362_16S_022_3	ASV_890_16S_022_3	0.931883346356854	1	0.779629	-0.328561	0.140859	3	1	1
ASV_318_16S_022_3	ASV_896_16S_022_3	0.766157759392637	1	0.496044	-0.371226	0.252747	3	1	1
ASV_498_16S_022_3	ASV_911_16S_022_3	0.629976511001587	1	0.979625	-0.532810	0.249750	3	1	1
