Source	Target	Occurrence	Occurrence_Percentage	Source_Kingdom	Source_DivisionPhylum	Target_Kingdom	Target_DivisionPhylum
OTU_2092_18S_022_3	OTU_3569_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Opalozoa
OTU_2092_18S_022_3	OTU_3729_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_2099_18S_022_3	OTU_1013_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_2099_18S_022_3	OTU_819_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_2099_18S_3_200	OTU_4227_18S_3_200	1	16.67	Eukaryota	Ciliophora	Eukaryota	Choanoflagellida
OTU_21_18S_3_200	OTU_457_18S_3_200	2	33.33	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_21_18S_3_200	OTU_5052_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ciliophora
OTU_2130_18S_022_3	OTU_164_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2130_18S_022_3	OTU_3821_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2130_18S_022_3	OTU_735_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2139_18S_022_3	OTU_2859_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Centroheliozoa
OTU_2139_18S_022_3	OTU_835_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_215_18S_3_200	OTU_1833_18S_3_200	2	33.33	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_215_18S_3_200	OTU_528_18S_3_200	2	33.33	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2150_18S_022_3	OTU_5190_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2150_18S_022_3	OTU_5463_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2153_18S_3_200	OTU_4889_18S_3_200	1	16.67	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2154_18S_022_3	OTU_1783_18S_3_200	1	16.67	Eukaryota	Telonemia	Eukaryota	Telonemia
OTU_2154_18S_022_3	OTU_2715_18S_022_3	1	16.67	Eukaryota	Telonemia	Eukaryota	Dinoflagellata
OTU_2154_18S_022_3	OTU_4254_18S_022_3	1	16.67	Eukaryota	Telonemia	Eukaryota	Ochrophyta
OTU_216_18S_022_3	OTU_216_18S_3_200	5	83.33	Eukaryota	Cryptophyta	Eukaryota	Cryptophyta
OTU_2166_18S_022_3	OTU_2285_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Telonemia
OTU_2166_18S_022_3	OTU_2300_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Opalozoa
OTU_2166_18S_022_3	OTU_2859_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Centroheliozoa
OTU_2166_18S_022_3	OTU_7054_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2169_18S_022_3	OTU_1937_18S_3_200	1	16.67	Eukaryota	Sagenista	Eukaryota	Ochrophyta
OTU_2169_18S_022_3	OTU_2306_18S_3_200	1	16.67	Eukaryota	Sagenista	Eukaryota	Picozoa
OTU_2177_18S_022_3	OTU_3890_18S_022_3	3	50	Eukaryota	Ciliophora	Eukaryota	Cercozoa
OTU_2177_18S_3_200	OTU_2824_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Ochrophyta
OTU_2184_18S_022_3	OTU_2719_18S_022_3	1	16.67	Eukaryota	Ciliophora	Eukaryota	Lobosa
OTU_2184_18S_022_3	OTU_4890_18S_022_3	1	16.67	Eukaryota	Ciliophora	Eukaryota	Sagenista
OTU_2184_18S_3_200	OTU_4257_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Cercozoa
OTU_2184_18S_3_200	OTU_4500_18S_3_200	2	33.33	Eukaryota	Ciliophora	Eukaryota	Choanoflagellida
OTU_2185_18S_022_3	OTU_1783_18S_3_200	1	16.67	Eukaryota	Opalozoa	Eukaryota	Telonemia
OTU_2185_18S_022_3	OTU_2245_18S_022_3	1	16.67	Eukaryota	Opalozoa	Eukaryota	Dinoflagellata
OTU_2189_18S_022_3	OTU_3042_18S_022_3	2	33.33	Eukaryota	Cercozoa	Eukaryota	Ochrophyta
OTU_2189_18S_022_3	OTU_5590_18S_022_3	2	33.33	Eukaryota	Cercozoa	Eukaryota	Cercozoa
OTU_2198_18S_3_200	OTU_2963_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2198_18S_3_200	OTU_3145_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Haptophyta
OTU_2198_18S_3_200	OTU_3921_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2198_18S_3_200	OTU_6616_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2200_18S_3_200	OTU_2373_18S_3_200	3	50	Eukaryota	Cercozoa	Eukaryota	Ciliophora
OTU_2200_18S_3_200	OTU_3836_18S_3_200	3	50	Eukaryota	Cercozoa	Eukaryota	Dinoflagellata
OTU_2204_18S_3_200	OTU_3970_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Choanoflagellida
OTU_2206_18S_022_3	OTU_2263_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2206_18S_022_3	OTU_3368_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2206_18S_022_3	OTU_694_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2207_18S_3_200	OTU_3470_18S_3_200	2	33.33	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_2209_18S_022_3	OTU_1156_18S_3_200	4	66.67	Eukaryota	Ochrophyta	Eukaryota	Telonemia
OTU_222_18S_022_3	OTU_239_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_222_18S_022_3	OTU_3201_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
OTU_222_18S_022_3	OTU_5003_18S_022_3	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Haptophyta
OTU_2223_18S_022_3	OTU_226_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_2223_18S_022_3	OTU_3137_18S_022_3	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Sagenista
OTU_224_18S_022_3	OTU_762_18S_3_200	3	50	Eukaryota	Ochrophyta	Eukaryota	Chlorophyta
OTU_224_18S_3_200	OTU_490_18S_3_200	2	33.33	Eukaryota	Ochrophyta	Eukaryota	Ochrophyta
OTU_2245_18S_022_3	OTU_1565_18S_3_200	1	16.67	Eukaryota	Dinoflagellata	Eukaryota	Ochrophyta
OTU_2250_18S_022_3	OTU_3890_18S_022_3	4	66.67	Eukaryota	Haptophyta	Eukaryota	Cercozoa
OTU_2250_18S_022_3	OTU_4500_18S_3_200	3	50	Eukaryota	Haptophyta	Eukaryota	Choanoflagellida
OTU_2257_18S_022_3	OTU_1959_18S_3_200	1	16.67	Eukaryota	Ciliophora	Eukaryota	Ciliophora
OTU_2257_18S_022_3	OTU_938_18S_3_200	1	16.67	Eukaryota	Ciliophora	Eukaryota	Dinoflagellata
OTU_2261_18S_022_3	OTU_1129_18S_3_200	2	33.33	Eukaryota	Choanoflagellida	Eukaryota	Opalozoa
OTU_2261_18S_022_3	OTU_734_18S_3_200	2	33.33	Eukaryota	Choanoflagellida	Eukaryota	Ciliophora
OTU_2263_18S_022_3	OTU_3145_18S_022_3	1	16.67	Eukaryota	Haptophyta	Eukaryota	Haptophyta
OTU_2263_18S_3_200	OTU_2457_18S_3_200	1	16.67	Eukaryota	Haptophyta	Eukaryota	Dinoflagellata
OTU_2268_18S_022_3	OTU_126_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Apicomplexa
OTU_2268_18S_022_3	OTU_2943_18S_022_3	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Sagenista
OTU_2268_18S_022_3	OTU_90_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Dinoflagellata
OTU_2268_18S_3_200	OTU_3380_18S_3_200	1	16.67	Eukaryota	Ochrophyta	Eukaryota	Cercozoa
OTU_227_18S_022_3	ASV_660_16S_3_200	3	50	Eukaryota	Haptophyta	Bacteria	Planctomycetota
OTU_227_18S_022_3	OTU_1556_18S_022_3	2	33.33	Eukaryota	Haptophyta	Eukaryota	Ochrophyta
OTU_2279_18S_022_3	OTU_2279_18S_3_200	2	33.33	Eukaryota	Choanoflagellida	Eukaryota	Choanoflagellida
OTU_2279_18S_022_3	OTU_735_18S_3_200	3	50	Eukaryota	Choanoflagellida	Eukaryota	Dinoflagellata
OTU_2285_18S_3_200	OTU_3669_18S_3_200	1	16.67	Eukaryota	Telonemia	Eukaryota	Cercozoa
OTU_229_18S_022_3	OTU_229_18S_3_200	4	66.67	Eukaryota	Dinoflagellata	Eukaryota	Dinoflagellata
OTU_2293_18S_3_200	OTU_4982_18S_3_200	2	33.33	Eukaryota	Dinoflagellata	Eukaryota	Cercozoa
