Source	Target	association_score	original	MutualInformation	ENV_daylength_InterationInformation	ENV_daylength_II_p_value	ENV_daylength_DataProcessingInequality_MI_rank	ENV_daylength_COMBI_II_DPI	ENV_Temperature_InterationInformation	ENV_Temperature_II_p_value	ENV_Temperature_DataProcessingInequality_MI_rank	ENV_Temperature_COMBI_II_DPI	ENV_Salinity_InterationInformation	ENV_Salinity_II_p_value	ENV_Salinity_DataProcessingInequality_MI_rank	ENV_Salinity_COMBI_II_DPI	ENV_NH4_InterationInformation	ENV_NH4_II_p_value	ENV_NH4_DataProcessingInequality_MI_rank	ENV_NH4_COMBI_II_DPI	ENV_NO2_InterationInformation	ENV_NO2_II_p_value	ENV_NO2_DataProcessingInequality_MI_rank	ENV_NO2_COMBI_II_DPI	ENV_NO3_InterationInformation	ENV_NO3_II_p_value	ENV_NO3_DataProcessingInequality_MI_rank	ENV_NO3_COMBI_II_DPI	ENV_PO4_InterationInformation	ENV_PO4_II_p_value	ENV_PO4_DataProcessingInequality_MI_rank	ENV_PO4_COMBI_II_DPI	ENV_Si_InterationInformation	ENV_Si_II_p_value	ENV_Si_DataProcessingInequality_MI_rank	ENV_Si_COMBI_II_DPI	COMBI_allENV
ASV_1029_16S_022_3	OTU_106_18S_3_200	0.522381126880646	1	0.710075	-0.669207	0.200799	3	1	-0.648579	0.143856	3	1	-0.614134	0.455544	3	1	-0.664299	0.118881	3	1	-0.433906	0.751249	3	1	-0.500828	0.333666	3	1	-0.536788	0.166833	3	1	-0.440986	0.875125	3	1	8
ASV_1029_16S_022_3	OTU_1202_18S_3_200	0.801478559300357	1	0.574419	-0.608208	0.350649	3	1	-0.536241	0.072927	3	1	-0.583531	0.545455	3	1	-0.499763	0.53047	3	1	0.657268	NA	3	1	-0.430014	0.200799	3	1	-0.449597	0.5005	3	1	-0.44908	0.643357	3	1	8
ASV_1029_16S_022_3	OTU_2419_18S_3_200	0.628233253955841	1	0.49773	1.398575	NA	3	1	-0.43067	0.144855	3	1	-0.477961	0.455544	3	1	-0.423073	0.470529	3	1	0.504424	NA	3	1	-0.476446	0.200799	3	1	-0.411087	0.667333	3	1	-0.406179	0.929071	3	1	8
ASV_103_16S_022_3	ASV_539_16S_022_3	0.81544996556603	1	0.809143	-0.131142	0.9001	3	1	-0.809143	0.143856	3	1	-0.775354	0.000999	3	1	-0.863698	0.058941	3	1	-0.604895	0.917083	3	1	-0.721316	0.200799	3	1	-0.651049	0.584416	3	1	-0.613851	0.663337	3	1	8
ASV_103_16S_022_3	ASV_615_16S_022_3	0.522589325904846	1	0.790225	-0.05937	0.5005	3	1	-0.680079	0.214785	3	1	-0.656105	0.000999	3	1	-0.75323	0.176823	3	1	-0.569083	0.917083	3	1	-0.598861	0.301698	3	1	0.371871	NA	3	1	-0.450528	0.786214	3	1	8
ASV_103_16S_022_3	ASV_871_16S_022_3	0.539592685122036	1	0.634648	-0.747483	0.050949	3	1	-0.56268	0.000999	3	1	-0.585997	0.000999	3	1	-0.600341	0.294705	3	1	-0.595951	0.167832	3	1	-0.531627	0.333666	3	1	-0.207326	0.667333	3	1	-0.180941	0.821179	3	1	8
ASV_103_16S_022_3	ASV_917_16S_022_3	0.593865735194133	1	0.661926	-0.671223	0.400599	3	1	-0.652628	0.000999	3	1	-0.606852	0.091908	3	1	-0.606335	0.412587	3	1	-0.592833	0.333666	3	1	-0.444369	0.335664	3	1	-0.28477	0.667333	3	1	-0.270889	0.893107	3	1	8
ASV_1036_16S_022_3	ASV_1777_16S_022_3	0.596518126892817	1	0.545441	-0.545441	0.95005	3	1	-0.545441	0.928072	3	1	-0.511652	0.637363	3	1	-0.545441	1	3	1	-0.39122	0.5005	3	1	-0.545441	0.666334	3	1	-0.487679	0.584416	3	1	-0.493242	0.214785	3	1	8
ASV_1036_16S_022_3	OTU_2155_18S_3_200	0.532529842072544	1	0.439968	-0.439968	0.95005	3	1	-0.439968	0.928072	3	1	-0.439968	0.818182	3	1	-0.439968	0.97003	3	1	-0.377298	0.334665	2	1	-0.439968	0.599401	3	1	-0.344027	0.834166	3	1	-0.41665	0.24975	3	1	8
ASV_1037_16S_022_3	ASV_1769_16S_022_3	0.534600853919983	1	0.576016	-0.576016	0.95005	3	1	-0.576016	1	3	1	-0.542227	0.182817	3	1	-0.53024	0.618382	3	1	-0.484465	0.417582	3	1	-0.576016	1	3	1	-0.518254	0.417582	3	1	-0.389697	0.983017	3	1	8
ASV_104_16S_022_3	ASV_1226_16S_3_200	-0.700844367043393	1	0.325418	-0.301444	0.050949	3	1	0.8678	NA	2	1	0.953777	NA	3	1	-0.279642	0.206793	3	1	-0.215457	0.334665	2	1	-0.255668	0.733267	2	1	-0.348735	0.416583	2	1	-0.300926	0.607393	2	1	8
