Source	Target	association_score	num_Triplets	MutualInformation	InterationInformation	II_p_value	DataProcessingInequality_MI_rank	DataProcessingInequality_indirect	COMBI_II_DPI
ASV_314_16S_022_3	ASV_432_16S_022_3	0.739688452205526	1	0.625515	-0.524579	0.000999	3	1	1
ASV_149_16S_022_3	ASV_431_16S_022_3	0.739852131571701	1	0.209008	-0.209468	0.556444	3	1	1
ASV_94_16S_022_3	ASV_433_16S_022_3	-0.839736959457224	1	0.387261	-0.387261	0.666334	3	1	1
ASV_101_16S_022_3	ASV_433_16S_022_3	0.753950916213088	1	0.364511	-0.366340	0.111888	3	1	1
ASV_95_16S_022_3	ASV_443_16S_022_3	0.740713918848504	1	0.472324	-0.212799	0.723277	3	1	1
ASV_342_16S_022_3	ASV_443_16S_022_3	0.763418686967404	1	0.583064	-0.062550	0.779221	3	1	1
ASV_336_16S_022_3	ASV_446_16S_022_3	0.735290229320526	1	0.678126	-0.608721	0.224775	3	1	1
ASV_361_16S_022_3	ASV_446_16S_022_3	0.543407868354733	1	0.827085	-0.649333	0.000999	3	1	1
ASV_399_16S_022_3	ASV_446_16S_022_3	0.537756536818005	1	0.750859	-0.633826	0.000999	3	1	1
ASV_252_16S_022_3	ASV_485_16S_022_3	0.844882934981318	1	0.365652	-0.311184	0.000999	3	1	1
ASV_322_16S_022_3	ASV_498_16S_022_3	0.60405083426451	1	0.741540	-0.669443	0.000999	3	1	1
ASV_131_16S_022_3	ASV_520_16S_022_3	0.653575122356415	1	0.721882	-0.665466	0.000999	3	1	1
ASV_346_16S_022_3	ASV_520_16S_022_3	0.56547	1	0.689807	-0.385961	0.611389	3	1	1
ASV_513_16S_022_3	ASV_526_16S_022_3	0.898167879673384	1	0.663959	-0.375572	0.000999	3	1	1
ASV_259_16S_022_3	ASV_534_16S_022_3	0.571564853191376	1	0.484975	0.893973	nan	3	1	1
ASV_356_16S_022_3	ASV_554_16S_022_3	0.821875007808464	1	0.599986	-0.535470	0.000999	3	1	1
ASV_404_16S_022_3	ASV_567_16S_022_3	0.821476590394346	1	0.532561	-0.163998	0.612388	3	1	1
ASV_442_16S_022_3	ASV_572_16S_022_3	0.834374966558984	1	0.610006	-0.623749	0.389610	3	1	1
ASV_513_16S_022_3	ASV_604_16S_022_3	0.638205766677856	1	0.483138	-0.399218	0.000999	3	1	1
ASV_191_16S_022_3	ASV_614_16S_022_3	0.59643552116619	1	0.451722	0.855034	nan	3	1	1
ASV_259_16S_022_3	ASV_618_16S_022_3	0.832971939335272	1	0.576494	0.806554	nan	3	1	1
ASV_528_16S_022_3	ASV_619_16S_022_3	0.877277909425732	1	0.815145	-0.606635	0.000999	3	1	1
ASV_39_16S_022_3	ASV_620_16S_022_3	0.787747759991725	1	0.528327	-0.493069	0.278721	3	1	1
ASV_90_16S_022_3	ASV_626_16S_022_3	0.562155306339264	1	0.481607	-0.444768	0.502498	3	1	1
ASV_600_16S_022_3	ASV_626_16S_022_3	0.759975383747704	1	0.742716	-0.658111	0.000999	3	1	1
ASV_481_16S_022_3	ASV_645_16S_022_3	0.77140093393267	1	0.510817	-0.510817	0.945055	3	1	1
ASV_554_16S_022_3	ASV_645_16S_022_3	0.684720396995544	1	0.413020	-0.340923	0.000999	3	1	1
ASV_510_16S_022_3	ASV_649_16S_022_3	0.531745910644531	1	0.479137	-0.382363	0.000999	3	1	1
ASV_427_16S_022_3	ASV_652_16S_022_3	0.881113648450394	1	0.803074	-0.755781	0.000999	3	1	1
ASV_77_16S_022_3	ASV_653_16S_022_3	0.741600070007248	1	0.334480	-0.338597	0.610390	3	1	1
ASV_155_16S_022_3	ASV_659_16S_022_3	0.983102713068996	1	0.897166	0.018501	nan	3	1	1
ASV_565_16S_022_3	ASV_712_16S_022_3	-0.655871689319611	1	0.555876	0.262678	nan	3	1	1
ASV_712_16S_022_3	ASV_719_16S_022_3	-0.846705506504987	1	0.707928	0.118554	nan	3	1	1
ASV_510_16S_022_3	ASV_726_16S_022_3	0.654107749462128	1	0.584812	-0.584812	1.000000	3	1	1
ASV_733_16S_022_3	ASV_742_16S_022_3	0.926028582493933	1	0.648495	-0.648495	1.000000	3	1	1
ASV_521_16S_022_3	ASV_748_16S_022_3	0.901947533190336	1	0.908152	-0.908152	0.945055	3	1	1
ASV_534_16S_022_3	ASV_748_16S_022_3	0.745245247762314	1	0.678043	-0.725809	0.500500	3	1	1
ASV_681_16S_022_3	ASV_748_16S_022_3	0.757218518264951	1	0.622336	-0.622336	1.000000	3	1	1
ASV_155_16S_022_3	ASV_783_16S_022_3	0.972434219373678	1	0.892896	0.087432	nan	3	1	1
ASV_487_16S_022_3	ASV_826_16S_022_3	0.770200079447663	1	0.565509	-0.486710	0.556444	3	1	1
ASV_394_16S_022_3	ASV_828_16S_022_3	-0.739532602741098	1	0.440424	-0.392658	0.000999	3	1	1
ASV_171_16S_022_3	ASV_830_16S_022_3	-0.785075746366659	1	0.196938	-0.119790	0.668332	3	1	1
ASV_618_16S_022_3	ASV_838_16S_022_3	0.798643463519431	1	0.460004	-0.323516	0.446553	3	1	1
ASV_626_16S_022_3	ASV_849_16S_022_3	0.747067159950179	1	0.695209	-0.562838	0.835165	3	1	1
ASV_318_16S_022_3	ASV_879_16S_022_3	0.936165204463862	1	0.533567	-0.533567	1.000000	3	1	1
ASV_394_16S_022_3	ASV_886_16S_022_3	0.613287320618887	1	0.738445	-0.642914	0.000999	3	1	1
ASV_759_16S_022_3	ASV_886_16S_022_3	0.57037878036499	1	0.645751	-0.536815	0.000999	3	1	1
ASV_362_16S_022_3	ASV_890_16S_022_3	0.931883346356854	1	0.779629	-0.653748	0.557443	3	1	1
ASV_318_16S_022_3	ASV_896_16S_022_3	0.766157759392637	1	0.496044	-0.496044	1.000000	3	1	1
ASV_498_16S_022_3	ASV_911_16S_022_3	0.629976511001587	1	0.979625	-0.979625	0.556444	3	1	1
ASV_922_16S_022_3	ASV_923_16S_022_3	0.757442666366094	1	0.342150	-0.342150	1.000000	3	1	1
ASV_879_16S_022_3	ASV_925_16S_022_3	0.64146	1	0.425925	-0.425925	1.000000	3	1	1
ASV_766_16S_022_3	ASV_941_16S_022_3	0.751638144517528	1	0.543412	-0.543412	1.000000	3	1	1
ASV_318_16S_022_3	ASV_958_16S_022_3	0.799488544464111	1	0.496044	-0.496044	1.000000	3	1	1
ASV_934_16S_022_3	ASV_958_16S_022_3	0.83200287288689	1	0.556317	-0.556317	1.000000	3	1	1
ASV_395_16S_022_3	ASV_963_16S_022_3	0.743139431386344	1	0.682610	-0.550947	0.000999	3	1	1
ASV_894_16S_022_3	ASV_967_16S_022_3	0.604727923318069	1	0.551820	2.362506	nan	3	1	1
ASV_97_16S_022_3	ASV_970_16S_022_3	0.904897153377533	1	0.867619	-0.867619	1.000000	3	1	1
ASV_204_16S_022_3	ASV_970_16S_022_3	0.628483463450684	1	0.664826	-0.591148	0.000999	3	1	1
ASV_238_16S_022_3	ASV_970_16S_022_3	0.655738711357117	1	0.652283	-0.652283	1.000000	3	1	1
ASV_330_16S_022_3	ASV_970_16S_022_3	0.629599988460541	1	0.758057	-0.793999	0.445554	3	1	1
ASV_894_16S_022_3	ASV_988_16S_022_3	0.846818197691666	1	0.719096	2.125329	nan	3	1	1
ASV_908_16S_022_3	ASV_990_16S_022_3	0.766166046218225	1	0.325857	2.405822	nan	3	1	1
ASV_682_16S_022_3	ASV_995_16S_022_3	0.808301448066254	1	0.618460	-0.449250	0.000999	3	1	1
ASV_149_16S_022_3	ASV_1001_16S_022_3	-0.773842730792395	1	0.299220	-0.260799	0.389610	3	1	1
ASV_748_16S_022_3	ASV_1001_16S_022_3	0.893990942685456	1	0.697607	-0.613002	0.000999	3	1	1
ASV_8_16S_022_3	ASV_1000_16S_022_3	0.8027812666339	1	0.510817	-0.510817	1.000000	3	1	1
ASV_515_16S_022_3	ASV_1003_16S_022_3	0.980003101357241	1	0.728109	-0.728109	1.000000	3	1	1
ASV_510_16S_022_3	ASV_1006_16S_022_3	0.818610508945925	1	0.765633	-0.493293	0.000999	3	1	1
ASV_238_16S_022_3	ASV_1013_16S_022_3	0.641768276691437	1	0.586478	-0.586478	1.000000	3	1	1
ASV_361_16S_022_3	ASV_1013_16S_022_3	0.675530016422272	1	0.780324	-0.626989	0.000999	3	1	1
ASV_446_16S_022_3	ASV_1013_16S_022_3	0.742998361587524	1	0.726070	-0.620296	0.000999	3	1	1
ASV_90_16S_022_3	ASV_1014_16S_022_3	0.803245484828949	1	0.624516	0.909816	nan	3	1	1
ASV_935_16S_022_3	ASV_1033_16S_022_3	0.802186454612983	1	0.660260	-0.628001	0.000999	3	1	1
ASV_345_16S_022_3	ASV_1077_16S_022_3	-0.766910852832204	1	0.369389	-0.369389	1.000000	3	1	1
ASV_184_16S_022_3	ASV_1080_16S_022_3	-0.538058444041367	1	0.375055	-0.152400	0.443556	3	1	1
ASV_489_16S_022_3	ASV_1090_16S_022_3	0.98708445886377	1	0.981938	1.057181	nan	3	1	1
ASV_205_16S_022_3	ASV_1095_16S_022_3	0.57406622171402	1	0.679304	-0.543260	0.445554	3	1	1
ASV_405_16S_022_3	ASV_1102_16S_022_3	0.82200156675523	1	0.536577	-0.509768	0.000999	3	1	1
ASV_882_16S_022_3	ASV_1109_16S_022_3	0.9863221798227	1	0.616591	3.776772	nan	3	1	1
ASV_573_16S_022_3	ASV_1113_16S_022_3	0.738656468979159	1	0.751829	-0.552636	0.000999	3	1	1
ASV_727_16S_022_3	ASV_1118_16S_022_3	0.813763214688671	1	0.637027	-0.637027	0.888112	3	1	1
ASV_698_16S_022_3	ASV_1123_16S_022_3	0.886460884602551	1	0.616591	-0.739774	0.777223	3	1	1
ASV_929_16S_022_3	ASV_1132_16S_022_3	0.754648918177312	1	0.728109	-0.728109	1.000000	3	1	1
ASV_748_16S_022_3	ASV_1130_16S_022_3	0.825456479606105	1	0.674214	-0.674214	1.000000	3	1	1
ASV_184_16S_022_3	ASV_1129_16S_022_3	0.968173384666443	1	0.828958	0.925805	nan	3	1	1
ASV_251_16S_022_3	ASV_1129_16S_022_3	0.847181138638923	1	0.564029	0.951847	nan	3	1	1
ASV_773_16S_022_3	ASV_1134_16S_022_3	0.745556888195622	1	0.465707	-0.392029	0.000999	3	1	1
ASV_271_16S_022_3	ASV_1161_16S_022_3	0.634882986545563	1	0.730341	-0.710234	0.000999	3	1	1
ASV_525_16S_022_3	ASV_1161_16S_022_3	0.747477851878826	1	0.536831	-0.423846	0.390609	3	1	1
ASV_603_16S_022_3	ASV_1167_16S_022_3	0.779033150791157	1	0.520879	-0.563524	0.554446	3	1	1
ASV_155_16S_022_3	ASV_1165_16S_022_3	0.570205271244049	1	0.656767	-0.682855	0.444555	3	1	1
ASV_314_16S_022_3	ASV_1165_16S_022_3	0.688795328140259	1	0.634629	-0.560979	0.000999	3	1	1
ASV_604_16S_022_3	ASV_1211_16S_022_3	0.795439164899419	1	0.460389	-0.436057	0.000999	3	1	1
ASV_315_16S_022_3	ASV_1221_16S_022_3	0.751480885986368	1	0.435770	-0.556317	0.777223	3	1	1
ASV_879_16S_022_3	ASV_1225_16S_022_3	0.680556907081519	1	0.533567	-0.533567	1.000000	3	1	1
ASV_1053_16S_022_3	ASV_1230_16S_022_3	0.626027430755337	1	0.602995	-0.494060	0.000999	3	1	1
ASV_748_16S_022_3	ASV_1234_16S_022_3	0.777509229120296	1	0.750859	-0.678762	0.000999	3	1	1
ASV_1019_16S_022_3	ASV_1238_16S_022_3	0.585050162357425	1	0.558186	-0.558186	1.000000	3	1	1
ASV_515_16S_022_3	ASV_1252_16S_022_3	0.536397695541382	1	0.482339	-0.482339	1.000000	3	1	1
ASV_1032_16S_022_3	ASV_1252_16S_022_3	0.81115112543458	1	0.472153	-0.472153	1.000000	3	1	1
ASV_238_16S_022_3	ASV_1273_16S_022_3	0.917755864147409	1	0.862569	-0.862569	1.000000	3	1	1
ASV_305_16S_022_3	ASV_1273_16S_022_3	0.756468485630262	1	0.734170	-0.578010	0.000999	3	1	1
ASV_772_16S_022_3	ASV_1273_16S_022_3	-0.660895586013794	1	0.527948	-0.215229	0.778222	3	1	1
ASV_394_16S_022_3	ASV_1277_16S_022_3	0.688673257827759	1	0.675162	-0.598494	0.000999	3	1	1
ASV_916_16S_022_3	ASV_1285_16S_022_3	0.804180997252019	1	0.710243	-0.668283	0.000999	3	1	1
ASV_1070_16S_022_3	ASV_1319_16S_022_3	0.743521801587646	1	0.505888	-0.505888	1.000000	3	1	1
ASV_106_16S_022_3	ASV_1324_16S_022_3	0.67657083272934	1	0.497912	-0.428469	0.668332	3	1	1
ASV_1132_16S_022_3	ASV_1329_16S_022_3	0.821829681139993	1	0.685718	-0.648879	0.000999	3	1	1
ASV_1018_16S_022_3	ASV_1342_16S_022_3	0.783206928756699	1	0.473294	-0.418826	0.000999	3	1	1
ASV_911_16S_022_3	ASV_1358_16S_022_3	0.851488391508287	1	0.646965	-0.493629	0.000999	3	1	1
ASV_1040_16S_022_3	ASV_1392_16S_022_3	0.884832561016083	1	0.788383	-0.746423	0.834166	3	1	1
ASV_661_16S_022_3	ASV_1398_16S_022_3	0.785620186739879	1	0.840904	-0.816573	0.000999	3	1	1
ASV_1025_16S_022_3	ASV_1398_16S_022_3	0.975168843660942	1	0.999930	-0.975599	0.000999	3	1	1
ASV_282_16S_022_3	ASV_1413_16S_022_3	0.668842494487762	1	0.583759	-0.553614	0.000999	3	1	1
ASV_427_16S_022_3	ASV_1413_16S_022_3	0.901871562004089	1	0.750777	-0.691526	0.000999	3	1	1
ASV_929_16S_022_3	ASV_1423_16S_022_3	0.982410768896495	1	0.788383	-0.788383	1.000000	3	1	1
ASV_1000_16S_022_3	ASV_1423_16S_022_3	0.637939989566803	1	0.593841	-0.593841	1.000000	3	1	1
ASV_1336_16S_022_3	ASV_1428_16S_022_3	0.56087201833725	1	0.558186	-0.473581	0.000999	3	1	1
ASV_595_16S_022_3	ASV_1468_16S_022_3	0.782169461250305	1	0.543412	-0.543412	1.000000	3	1	1
ASV_788_16S_022_3	ASV_1486_16S_022_3	0.605189085006714	1	0.523376	2.526648	nan	3	1	1
ASV_330_16S_022_3	ASV_1499_16S_022_3	0.971247656808959	1	0.957357	-0.957357	1.000000	3	1	1
ASV_724_16S_022_3	ASV_1506_16S_022_3	0.883120344705819	1	0.543412	-0.471315	0.000999	3	1	1
ASV_791_16S_022_3	ASV_1506_16S_022_3	0.54491400718689	1	0.438329	-0.353724	0.777223	3	1	1
ASV_1231_16S_022_3	ASV_1511_16S_022_3	0.823186472538603	1	0.533567	-0.533567	1.000000	3	1	1
ASV_1342_16S_022_3	ASV_1511_16S_022_3	0.631115138530731	1	0.616591	-0.616591	1.000000	3	1	1
ASV_733_16S_022_3	ASV_1522_16S_022_3	-0.757125494325336	1	0.426741	-0.372273	0.000999	3	1	1
ASV_1428_16S_022_3	ASV_1536_16S_022_3	0.735751483544054	1	0.586556	-0.586556	0.888112	3	1	1
ASV_35_16S_022_3	ASV_1539_16S_022_3	-0.733372521432686	1	0.370650	-0.338392	0.000999	3	1	1
ASV_1004_16S_022_3	ASV_1567_16S_022_3	0.690743446350098	1	0.510817	-0.510817	1.000000	3	1	1
ASV_604_16S_022_3	ASV_1580_16S_022_3	0.606176614761353	1	0.496044	-0.496044	0.889111	3	1	1
ASV_770_16S_022_3	ASV_1580_16S_022_3	0.784495382186339	1	0.365652	-0.365652	0.834166	3	1	1
ASV_1404_16S_022_3	ASV_1598_16S_022_3	0.988826196603215	1	0.746293	-0.746293	1.000000	3	1	1
