ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
ASV_20_16S	88	186	1663	1708	507	422	306	229	158	533	381	299	22	126	453	286	559	78	263	24	41	119	255	8706
ASV_26_16S	10	10	212	112	94	114	98	46	26	43	40	23	0	0	30	19	33	35	36	0	0	22	23	1026
ASV_35_16S	33	42	509	976	221	333	1026	101	41	199	420	195	0	0	342	230	544	46	102	0	0	75	118	5553
ASV_37_16S	242	249	2489	702	167	136	167	274	189	521	106	63	33	71	106	68	336	74	225	43	107	243	318	6929
ASV_40_16S	0	1551	5487	6967	2051	506	258	13	0	30	20	21	12	36	0	12	20	0	0	18	17	78	23	17120
ASV_51_16S	1980	1682	309	0	0	113	272	19	61	109	32	27	0	34	0	40	101	35	96	22	55	82	36	5105
ASV_58_16S	0	43	1048	159	190	138	245	32	62	1042	64	18	9	16	5	54	13	0	20	19	0	0	0	3177
ASV_63_16S	95	204	1217	419	38	0	0	0	0	22	13	7	0	0	0	11	17	0	7	0	16	18	285	2369
ASV_66_16S	1271	384	50	0	0	0	0	157	228	1158	0	0	65	109	0	0	0	30	106	58	363	1528	156	5663
ASV_84_16S	0	0	0	0	0	0	11	13	4	726	177	153	33	780	18	47	223	41	18	106	77	102	26	2555
ASV_85_16S	0	3	201	0	69	396	110	37	13	197	63	573	175	140	26	6	0	25	59	96	123	37	36	2385
ASV_96_16S	0	0	0	0	0	0	0	10	0	0	0	23	0	0	0	0	43	13	15	0	0	0	0	104
ASV_101_16S	0	0	0	0	0	126	45	0	0	16	0	0	0	0	126	0	0	0	0	0	0	0	0	313
ASV_113_16S	781	143	40	0	0	66	219	177	122	261	28	31	30	150	0	42	114	98	115	0	80	57	0	2554
ASV_133_16S	1211	385	55	0	0	22	24	6	28	81	22	14	0	12	0	11	100	5	73	0	80	131	14	2274
ASV_134_16S	867	551	53	0	0	0	0	48	85	383	0	0	0	54	0	0	0	0	68	33	321	653	93	3209
ASV_139_16S	382	341	75	0	0	0	0	95	200	273	0	0	0	91	0	0	0	0	63	0	158	672	63	2413
ASV_140_16S	0	0	0	0	0	0	46	162	50	1898	153	256	52	110	96	117	30	73	69	72	133	64	55	3436
ASV_144_16S	0	0	0	0	0	0	0	0	0	0	0	315	65	73	47	14	161	1016	41	140	405	129	82	2488
ASV_152_16S	432	963	497	0	7	237	211	5	11	14	74	31	0	5	59	98	69	40	7	3	15	156	20	2954
ASV_157_16S	0	0	59	1341	77	0	95	0	0	0	29	0	0	0	33	0	0	0	0	0	0	0	14	1648
ASV_166_16S	211	460	50	46	26	27	82	0	0	9	7	19	0	0	30	24	32	0	0	10	0	34	74	1141
ASV_176_16S	13	172	182	2160	119	127	174	33	0	136	0	0	0	10	0	14	18	0	5	20	26	32	15	3256
ASV_180_16S	0	10	0	0	0	0	0	0	0	4	0	0	0	0	802	0	456	72	139	41	181	243	141	2089
ASV_192_16S	0	0	47	0	201	134	229	0	0	0	122	85	0	0	157	72	116	0	0	0	0	0	56	1219
ASV_215_16S	0	0	112	385	55	12	242	66	5	199	0	14	14	117	6	26	24	18	6	55	22	26	12	1416
ASV_216_16S	0	0	0	0	0	0	0	11	22	10	25	10	92	26	17	21	21	0	39	59	25	32	37	447
ASV_227_16S	12	11	0	0	0	0	0	0	160	19	0	0	42	235	0	0	0	24	126	149	79	326	0	1183
ASV_229_16S	0	0	0	0	0	0	0	0	0	0	0	0	14	0	79	0	0	19	35	0	12	9	0	168
ASV_235_16S	0	0	0	0	0	0	0	0	0	46	35	5	27	17	34	57	44	51	15	38	19	29	24	441
ASV_237_16S	4	5	272	130	102	160	131	3	2	8	10	4	10	3	14	12	18	1	1	1	1	3	3	898
ASV_248_16S	0	0	0	0	2	22	65	0	0	15	30	40	0	12	0	40	17	0	0	0	0	0	0	243
ASV_255_16S	0	0	15	0	0	0	0	9	7	416	17	43	0	12	7	0	12	0	0	0	0	7	0	545
ASV_267_16S	41	177	12	183	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	47	75	20	579
ASV_269_16S	0	0	0	0	0	0	0	38	131	12	0	0	5	106	0	0	0	189	36	9	6	0	0	532
ASV_274_16S	0	0	0	0	0	0	0	11	0	0	0	9	10	18	51	33	28	32	11	20	11	41	44	319
ASV_283_16S	0	864	0	0	423	0	15	0	0	0	0	0	0	0	0	89	0	0	0	0	0	0	0	1391
ASV_286_16S	48	66	220	1247	459	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2104
ASV_289_16S	27	120	103	80	66	89	97	39	18	16	6	121	21	42	39	27	127	20	36	9	100	66	0	1269
ASV_294_16S	115	0	17	0	0	0	0	113	244	230	0	0	0	223	0	0	0	71	273	28	110	14	0	1438
