ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_big
ASV_678_16S	0	0	0	19	0	0	14	2	0	0	0	0	0	241	67	0	14	0	0	0	0	0	357
ASV_680_16S	0	0	0	0	0	13	11	11	0	33	0	19	0	7	0	5	0	8	0	13	21	0	141
ASV_684_16S	22	13	18	27	0	22	3	19	45	19	0	30	5	33	0	14	15	20	0	8	25	18	356
ASV_695_16S	0	0	0	0	14	293	31	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	352
ASV_721_16S	0	32	0	0	0	0	47	0	0	0	0	0	51	135	183	0	0	0	0	81	96	71	696
ASV_753_16S	13	0	48	24	48	17	0	12	50	0	12	0	0	11	0	13	8	22	9	40	0	11	338
ASV_757_16S	0	19	69	24	31	31	0	0	33	0	13	15	0	21	0	0	0	0	0	0	45	12	313
ASV_760_16S	0	75	80	0	0	0	0	0	0	0	0	0	0	0	40	0	48	0	0	0	0	0	243
ASV_772_16S	29	0	22	22	0	21	19	0	27	15	0	17	0	17	14	31	28	17	13	0	43	0	335
ASV_780_16S	21	9	10	10	38	23	0	0	0	6	31	12	0	10	0	11	31	0	8	0	21	23	264
ASV_787_16S	47	0	0	0	20	0	0	55	0	0	4	28	0	0	17	0	43	0	30	20	0	0	264
ASV_794_16S	0	8	12	9	8	8	24	0	60	47	64	20	65	42	98	11	29	7	16	42	46	41	657
ASV_808_16S	0	0	16	0	0	0	0	0	0	0	0	0	0	20	26	26	0	0	0	0	0	22	110
ASV_812_16S	0	10	0	0	9	6	19	0	0	10	0	6	7	8	6	6	42	0	23	0	7	6	165
ASV_825_16S	0	0	23	0	0	0	0	0	0	0	0	0	27	52	54	72	25	0	0	0	0	94	347
ASV_828_16S	31	0	4	33	0	0	9	0	38	15	0	0	5	0	0	23	21	0	0	0	46	36	261
ASV_832_16S	6	28	23	30	0	0	0	5	5	11	22	31	0	5	3	24	5	13	36	15	26	15	303
ASV_835_16S	0	31	0	11	0	13	66	0	0	5	0	0	0	0	30	0	52	39	19	0	0	0	266
ASV_845_16S	0	3	24	29	0	35	7	0	45	0	0	24	0	29	28	11	0	0	10	20	11	0	276
ASV_858_16S	25	0	0	0	11	8	13	9	13	8	0	8	12	12	0	0	7	24	0	17	0	7	174
ASV_874_16S	0	0	0	0	0	0	0	27	0	0	0	0	0	0	13	153	17	0	0	0	22	16	248
ASV_873_16S	16	0	15	0	22	17	21	0	9	10	16	0	5	0	11	35	0	22	7	6	21	54	287
ASV_881_16S	0	0	0	0	0	0	18	0	0	14	13	7	5	18	23	50	78	4	89	33	62	46	460
ASV_885_16S	16	0	0	0	0	15	0	0	0	0	0	0	24	0	0	0	63	15	97	108	107	18	463
ASV_888_16S	31	13	18	0	15	14	0	0	22	0	16	10	0	0	0	0	9	6	0	1	0	16	171
ASV_892_16S	0	0	21	0	26	15	15	0	12	0	0	14	5	11	0	22	0	12	0	9	0	11	173
ASV_895_16S	0	0	12	28	47	13	0	11	30	0	0	0	0	19	0	4	0	8	10	9	33	0	224
ASV_905_16S	37	0	0	0	0	0	0	0	0	0	0	0	15	0	0	0	0	0	69	0	46	0	167
ASV_960_16S	14	0	11	0	17	0	20	0	0	14	0	5	0	0	0	5	8	13	0	7	0	0	114
ASV_972_16S	31	24	0	17	0	0	0	22	0	0	0	0	0	28	6	0	0	0	0	0	0	11	139
ASV_973_16S	5	0	0	0	13	0	8	0	0	0	0	0	0	11	33	85	0	0	0	7	0	0	162
ASV_983_16S	0	9	0	0	0	0	0	0	0	0	0	0	25	85	135	68	0	0	0	17	10	0	349
ASV_990_16S	0	0	48	0	0	22	0	0	0	21	0	0	0	0	0	0	0	0	25	0	0	0	116
ASV_1033_16S	0	0	20	7	0	0	0	0	0	12	0	0	0	53	20	0	0	0	58	61	0	0	231
ASV_1048_16S	23	22	13	11	22	0	0	8	12	23	0	3	0	16	13	0	12	11	9	5	24	0	227
ASV_1052_16S	37	8	0	4	42	0	0	4	35	0	0	36	0	3	8	0	0	0	10	16	28	0	231
ASV_1056_16S	0	0	0	0	0	0	85	0	0	0	0	0	0	17	0	0	0	0	101	33	0	0	236
ASV_1080_16S	5	0	0	8	14	29	0	0	11	0	0	0	0	0	7	19	22	27	6	0	6	25	179
ASV_1091_16S	29	0	0	9	0	0	0	0	0	0	19	25	0	0	0	0	20	0	16	0	17	0	135
ASV_1100_16S	0	10	20	0	28	0	0	0	0	17	0	0	0	14	27	19	11	12	0	0	0	0	158
ASV_1101_16S	0	0	0	0	0	8	7	0	170	0	0	0	0	0	0	0	13	0	0	0	0	0	198
ASV_1148_16S	0	0	9	15	0	32	0	0	0	20	21	0	0	0	14	16	0	6	0	0	11	17	161
ASV_1156_16S	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	0	41	18	33	26	13	23	170
ASV_1174_16S	0	7	18	0	0	0	0	0	0	0	0	0	10	68	50	0	0	0	0	0	84	0	237
ASV_1187_16S	0	0	0	0	0	0	0	0	0	0	0	26	0	40	56	31	0	0	0	0	0	32	185
ASV_1188_16S	23	28	8	37	8	0	15	0	6	0	0	0	22	14	0	0	0	0	17	16	0	0	194
ASV_1222_16S	0	0	0	0	0	0	0	0	9	0	0	0	11	74	115	0	5	0	0	0	14	44	272
ASV_1231_16S	0	0	0	0	0	0	13	0	0	0	0	0	18	24	79	0	0	0	11	0	38	0	183
ASV_1262_16S	0	0	0	0	0	0	6	8	0	25	14	0	4	13	25	31	26	8	62	19	51	0	292
ASV_1279_16S	0	0	4	34	0	3	0	0	0	0	29	0	0	0	12	21	0	37	13	0	10	0	163
ASV_1281_16S	0	0	0	0	0	27	0	0	19	0	0	13	0	25	140	0	17	0	0	4	6	0	251
ASV_1309_16S	11	7	0	0	23	0	0	13	0	11	0	0	0	9	0	0	18	9	20	0	0	0	121
ASV_1318_16S	0	0	0	0	12	0	0	0	9	38	0	0	17	0	0	4	0	7	10	0	19	0	116
ASV_1350_16S	23	0	15	0	0	11	0	0	11	15	22	0	4	0	0	0	0	0	0	0	0	0	101
ASV_1352_16S	0	0	18	0	0	0	11	0	0	9	0	0	6	6	14	0	0	0	0	32	25	0	121
ASV_1359_16S	0	0	0	0	0	9	9	0	3	0	0	0	0	13	23	17	0	0	0	9	0	22	105
ASV_1360_16S	0	0	0	0	0	0	0	22	0	18	0	0	0	0	44	0	0	0	0	0	15	7	106
ASV_1408_16S	24	0	21	13	21	21	0	11	13	0	12	0	0	0	0	0	0	22	0	0	19	0	177
ASV_1422_16S	18	0	33	0	34	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	104
ASV_1424_16S	0	0	0	0	6	0	11	0	0	10	0	0	0	71	0	55	2	0	0	22	0	0	177
ASV_1441_16S	0	44	0	0	0	7	4	0	0	0	0	0	0	0	0	0	0	0	0	0	73	0	128
ASV_1467_16S	27	6	0	0	23	13	20	0	0	0	0	0	6	6	9	8	24	0	0	4	0	8	154
ASV_1479_16S	0	23	19	0	0	0	0	3	0	0	0	0	8	37	25	12	0	0	0	0	0	9	136
ASV_1502_16S	0	0	0	0	0	0	4	0	0	22	7	9	10	12	13	18	11	3	41	19	40	0	209
ASV_1514_16S	0	0	0	0	0	0	26	0	0	0	30	17	28	26	15	0	14	18	0	0	14	21	209
ASV_1515_16S	0	10	7	0	11	16	0	0	7	0	14	5	0	5	0	0	21	6	6	0	8	0	116
ASV_1519_16S	0	0	0	0	0	0	0	4	19	0	4	0	0	0	1	102	0	0	0	0	0	0	130
ASV_1542_16S	0	5	0	0	0	4	0	0	4	0	6	0	39	33	37	0	6	6	0	23	17	27	207
ASV_1599_16S	0	0	0	0	0	0	0	10	0	28	23	0	0	0	0	22	16	0	0	44	13	30	186
ASV_1600_16S	13	9	0	0	13	21	0	0	0	0	0	16	0	0	0	0	0	12	6	7	11	0	108
ASV_1617_16S	0	10	5	0	0	0	21	0	8	0	0	0	27	21	8	7	0	0	10	54	0	36	207
ASV_1735_16S	0	5	0	0	0	0	0	0	0	0	0	0	6	50	29	0	0	10	0	12	15	10	137
ASV_1758_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	16	0	0	0	0	28	28	51	0	123
ASV_1936_16S	0	0	5	8	0	0	0	0	8	0	0	0	0	27	32	0	0	0	9	30	6	12	137
ASV_1970_16S	0	0	0	0	0	0	0	3	0	0	0	27	15	0	13	0	0	0	0	3	0	50	111
ASV_1979_16S	0	0	0	20	28	23	0	0	0	0	0	0	0	0	0	0	26	13	0	0	0	0	110
ASV_1992_16S	0	0	0	0	0	6	0	0	7	17	0	5	10	0	4	0	11	10	0	24	21	22	137
ASV_2095_16S	18	19	0	0	0	0	0	0	0	0	0	0	6	17	0	0	33	0	22	17	0	10	142
ASV_2112_16S	0	5	0	9	0	0	0	0	0	8	0	0	11	28	28	0	9	0	0	17	0	30	145
ASV_2126_16S	0	0	0	0	0	0	9	0	3	21	0	0	4	0	8	8	12	0	39	0	23	0	127
ASV_2146_16S	0	0	0	0	0	0	9	0	0	23	4	13	0	18	26	0	6	0	0	0	14	22	135
ASV_2163_16S	0	0	0	7	0	0	0	0	14	0	0	0	26	0	29	9	0	0	0	0	14	26	125
ASV_2316_16S	0	0	0	3	0	0	0	0	0	11	0	0	18	12	16	5	0	0	10	33	10	0	118
ASV_2318_16S	0	0	0	0	0	0	0	0	0	8	0	0	16	17	35	0	0	0	0	0	13	24	113
ASV_2391_16S	0	0	0	0	0	0	0	0	0	19	0	0	21	0	26	0	0	0	22	16	0	12	116
ASV_2540_16S	0	0	0	0	0	10	0	0	0	0	0	0	21	13	26	0	6	0	0	0	18	15	109
