ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822	abundancesum_big
OTU_3_18S	12520	6220	1573	6225	6810	7978	409	199	258	812	767	75	9838	531	19100	8277	6691	400	1351	165	1968	2551	94718
OTU_4_18S	0	149	38	66	36292	1380	55	375	5067	650	1164	487	1186	15601	13075	8465	9183	379	260	8352	907	28796	131927
OTU_10_18S	435	92	1264	26156	199	3611	2788	0	0	0	144	0	98	1368	2074	0	409	319	368	487	378	52	40242
OTU_11_18S	0	0	128	0	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	15	25	0	220
OTU_12_18S	160	0	0	0	0	5096	21352	0	0	1216	0	492	271	0	0	177	35623	5984	7108	0	0	0	77479
OTU_16_18S	9584	10314	80	37669	2982	22853	1209	0	3065	2029	514	156	35	0	9638	5724	9484	0	2686	0	0	1593	119615
OTU_21_18S	5751	384	270	234	505	82	4589	0	0	1373	55907	12	7032	297	474	886	0	8979	7819	9053	140	15568	119355
OTU_28_18S	545	51	5013	2611	182	392	1475	665	135	0	0	0	153	2276	440	462	0	351	78	611	192	734	16366
OTU_30_18S	0	0	0	4786	524	10429	2543	68	0	2526	173	59	159	279	0	7401	2760	0	0	0	0	5364	37071
OTU_32_18S	6563	548	903	25962	4934	1364	53	156	186	1534	103	234	373	30	273	187	521	262	47	0	0	85	44318
OTU_34_18S	1886	676	18033	8647	2190	3230	1784	633	511	97	0	0	151	1715	2607	3900	0	369	2650	560	332	446	50417
OTU_36_18S	0	162	1136	20	71	337	738	0	5868	69	20481	4678	2003	613	234	158	109	562	599	6474	1098	288	45698
OTU_37_18S	226	79	15	724	373	253	22	28	16946	239	1600	4756	44	15	136	113	3422	90	84	115	1775	308	31363
OTU_39_18S	4400	855	1197	3959	3564	4682	508	516	0	1482	0	0	225	97	274	702	1002	210	967	0	376	427	25443
OTU_38_18S	16836	1768	3192	12747	3113	4125	0	0	0	449	0	17	151	0	0	0	436	0	885	0	0	0	43719
OTU_46_18S	2665	565	3814	5539	1661	605	259	984	141	947	0	0	155	377	421	765	1419	266	0	0	93	351	21027
OTU_48_18S	0	347	3968	0	0	0	0	0	0	0	0	0	0	3777	2933	15	0	0	0	0	0	0	11040
OTU_61_18S	1400	407	5426	4884	109	2062	0	352	0	472	60	0	589	529	100	187	146	40	45	579	92	103	17582
OTU_68_18S	0	0	105	357	0	735	0	0	0	108	345	0	504	250	206	1709	0	0	223	46	142	130	4860
OTU_71_18S	647	48	945	774	389	479	629	261	0	274	39	0	400	0	2117	0	480	47	35	0	74	222	7860
OTU_72_18S	0	81	0	0	0	227	0	0	107	0	128	0	103	0	10	0	0	0	0	0	265	0	921
OTU_76_18S	19	51	5038	42	76	857	486	673	209	0	204	0	40	5206	253	496	18	292	0	929	0	551	15440
OTU_78_18S	1389	82	1918	836	137	1178	214	513	0	102	0	0	290	192	0	653	0	298	102	80	262	207	8453
OTU_79_18S	314	114	3850	2867	410	919	747	167	0	71	0	0	371	1746	766	937	0	210	1062	436	335	557	15879
OTU_82_18S	4850	18	113	3846	1677	604	507	275	50	162	0	0	13	445	239	460	153	335	172	84	49	239	14291
OTU_84_18S	4341	4517	675	14625	4930	1343	0	0	0	1644	0	0	0	0	0	0	1123	252	900	0	188	0	34538
OTU_85_18S	30	25	45	142	117	77	41	31	13282	0	509	235	89	296	492	52	107	0	0	62	189	314	16135
OTU_90_18S	1344	7049	394	3602	9604	6160	0	0	0	3339	798	0	0	0	0	454	0	401	424	0	0	0	33569
OTU_91_18S	95	351	1451	47	14	856	131	304	396	1672	118	0	141	736	217	820	11998	1127	214	223	157	299	21367
OTU_92_18S	78	0	172	2414	1046	99	46	0	0	0	0	0	0	191	0	78	105	55	0	17	0	13	4314
OTU_94_18S	2142	249	4979	2988	3044	2026	2001	348	602	649	483	117	688	1343	1195	78	73	431	575	400	1107	697	26215
OTU_98_18S	4763	1055	508	4404	5227	2067	250	245	0	1147	0	79	37	0	0	244	99	88	383	0	483	44	21123
OTU_97_18S	734	579	570	4983	188	551	124	154	0	236	0	0	59	8	0	440	58	96	263	94	30	32	9199
OTU_99_18S	216	68	5564	24797	1450	0	0	0	77	0	0	0	0	38	153	0	0	54	0	0	0	0	32417
OTU_103_18S	0	71	62	81	457	246	152	0	51	86	55	80	240	0	0	0	2042	442	267	0	618	39	4989
OTU_101_18S	0	0	2679	101	0	0	0	165	0	0	0	0	0	3578	165	0	0	0	0	760	264	221	7933
OTU_105_18S	133	16	3221	492	34	149	535	671	0	0	0	0	144	1423	402	533	0	55	72	333	179	241	8633
OTU_96_18S	85	0	0	53	1009	17	0	0	0	2102	1713	2147	0	0	0	159	1351	166	0	0	110	46	8958
OTU_109_18S	1901	1523	3132	661	1590	38	27	0	319	846	0	93	0	0	442	76	99	204	219	0	0	5901	17071
OTU_106_18S	0	64	247	900	484	0	0	33	0	113	0	0	0	0	0	0	0	0	0	0	0	0	1841
OTU_111_18S	2114	1522	2344	4608	1473	7798	505	341	0	417	533	0	0	0	113	352	585	48	2353	0	99	65	25270
OTU_118_18S	1234	1958	266	2596	1871	1490	344	178	0	841	0	0	319	0	84	2927	180	562	2345	0	279	66	17540
OTU_119_18S	167	52	153	389	47	250	120	45	0	16	0	0	47	29	42	31	7	200	32	205	17	49	1898
OTU_116_18S	0	0	725	1686	642	517	0	0	0	0	0	0	0	0	390	541	0	0	0	0	0	189	4690
OTU_123_18S	0	0	0	22371	0	0	0	0	0	1926	0	0	0	0	1396	0	0	0	0	0	0	322	26015
OTU_124_18S	2739	544	952	7110	4184	1354	0	0	146	79	0	0	24	0	132	0	1960	67	116	0	0	503	19910
OTU_126_18S	109	13	494	60	49	129	8	28	5287	0	0	1202	531	872	1400	213	388	0	55	955	80	201	12074
OTU_130_18S	230	252	1004	12791	75	7897	0	0	0	0	0	0	0	0	16	0	371	0	32	0	319	21	23008
OTU_131_18S	0	0	0	51	415	0	0	0	1368	230	257	0	0	0	0	115	172	0	0	0	0	0	2608
OTU_136_18S	1974	943	1159	1520	795	3196	150	65	40	131	70	75	124	15	49	238	399	79	344	65	414	91	11936
OTU_138_18S	0	631	782	0	0	0	0	0	0	0	75	0	1975	5169	1805	0	0	921	0	688	2753	68	14867
OTU_140_18S	1410	94	1029	5238	12948	363	609	76	0	802	93	0	209	76	36	54	106	44	89	27	0	0	23303
OTU_129_18S	122	79	339	135	41	59	35	0	0	0	0	0	42	36	0	91	0	0	74	0	0	0	1053
OTU_142_18S	259	0	745	0	74	20	0	0	0	9402	0	0	252	0	0	0	0	0	0	0	55	0	10807
OTU_137_18S	485	186	299	886	205	559	0	0	0	446	0	0	0	0	0	232	330	0	219	0	127	128	4102
OTU_148_18S	0	0	77	42	0	62	190	0	0	0	0	0	1446	98	119	45	0	0	488	145	355	106	3173
OTU_149_18S	257	179	1291	1426	7882	260	863	467	240	175	37	0	301	918	175	1050	203	773	817	130	129	41	17614
OTU_153_18S	0	8	3	70	62	24	14	13	3211	71	6080	1095	81	71	146	117	0	40	332	225	828	213	12704
OTU_141_18S	4155	1949	199	1572	3179	317	0	0	0	253	0	0	0	0	376	783	732	0	69	0	0	242	13826
OTU_155_18S	0	0	27	46	26	22	50	0	0	0	1286	5462	0	28	0	0	1390	950	1411	123	147	22	10990
OTU_152_18S	572	61	1058	1615	49	429	1797	120	166	83	0	0	27	115	172	48	15	601	203	21	552	187	7891
OTU_156_18S	33	69	2096	3240	260	90	422	265	130	116	0	0	178	96	162	228	168	253	85	32	247	570	8740
OTU_151_18S	43	71	269	567	195	523	24	58	0	251	0	57	20	0	57	104	0	67	78	304	925	242	3855
OTU_157_18S	663	0	851	3607	298	340	0	253	389	219	0	0	51	252	259	306	68	6	73	28	0	95	7758
OTU_163_18S	0	0	328	384	372	0	0	208	147	0	0	0	0	1148	148	241	0	0	90	194	32	220	3512
OTU_164_18S	59	91	49	0	0	0	0	0	0	97	0	0	0	0	0	0	0	0	0	0	0	0	296
OTU_165_18S	277	34	3713	3171	4939	1512	803	906	142	470	167	0	146	589	102	95	78	0	111	61	67	29	17412
OTU_167_18S	26	28	616	324	58	71	65	174	0	0	0	0	276	1181	1327	1658	18	162	63	679	0	539	7265
OTU_166_18S	210	329	536	172	114	53	0	0	103	87	0	115	305	208	313	52	0	0	0	0	0	62	2659
OTU_160_18S	251	877	279	2653	1846	366	12	33	0	140	0	0	0	0	0	13	42	80	367	14	155	0	7128
OTU_171_18S	4	2	321	9704	6420	0	277	104	86	9	0	0	46	398	0	897	31	1	44	0	198	0	18542
OTU_178_18S	811	40	0	15708	2077	0	0	149	0	182	0	0	0	0	0	136	0	0	0	0	0	0	19103
OTU_179_18S	1821	240	230	2409	2889	861	32	240	26	1494	0	0	122	0	23	396	215	0	222	35	382	0	11637
OTU_177_18S	1515	156	646	427	517	537	0	0	0	238	0	0	0	0	149	0	0	0	191	0	85	0	4461
OTU_180_18S	1090	17	247	285	1354	902	1837	412	0	873	0	0	133	193	52	270	151	1249	893	220	72	195	10445
OTU_184_18S	588	778	215	2764	975	342	187	75	0	544	0	0	0	0	0	0	0	88	31	52	197	49	6885
OTU_182_18S	0	0	625	548	119	0	0	0	0	0	0	0	0	96	0	0	0	76	0	0	0	0	1464
OTU_189_18S	0	50	25	22	58	28	0	0	0	0	31	0	46	0	0	0	0	38	0	0	36	0	334
OTU_192_18S	2804	696	0	11945	468	234	46	8	0	54	0	0	0	0	0	0	60	971	0	0	0	0	17286
OTU_197_18S	0	0	613	498	15	75	32	503	201	50	0	0	55	1033	406	349	0	254	30	323	19	161	4617
OTU_203_18S	9	154	637	686	231	0	95	512	120	0	0	0	33	18	96	385	66	57	0	75	374	153	3701
OTU_198_18S	0	211	0	0	0	10440	201	0	0	0	0	0	104	0	0	0	0	0	0	0	2524	0	13480
