ASV	EA.20130423	EA.20130604	EA.20130625	EA.20131127	EA.20131230	EA.20140415	EA.20140514	EA.20140930	EA.20141029	EA.20150227	EA.20150328	EA.20150516	EA.20150627	EA.20150801	EA.20150829	EA.20151006	EA.20151208	EA.20160225	EA.20160322	EA.20160502	EA.20160611	EA.20160822
ASV_1_16S_022_3	7.36179047700576	6.78789379422413	6.0255193616842	7.64912057556166	7.15721257875511	6.69742285352864	6.53177147850347	7.07784686872925	6.9287822766741	6.95252796710736	6.75948176793157	7.29590003101735	6.87405658141266	6.44032133526863	6.97923265133744	6.95490099189928	7.84750796359818	6.70825236671521	7.02409790251869	6.27389562772729	7.53268768702792	6.96908652145273
ASV_3_16S_022_3	4.49258353030164	5.24515989899322	5.0062806605576	5.00430286135443	5.50435422697628	4.90258171776318	4.05322559527728	4.4729077865624	5.04209872803261	4.3926937103126	4.5222840410906	4.25830282872724	4.36472116178554	5.20485887082318	5.17908246330584	4.4116021218224	5.69845562797443	4.93499202687989	4.62888272928677	5.51024745747858	5.06909607814901	4.43322372517499
ASV_4_16S_022_3	-3.97310653719139	-3.97310653719139	-3.97310653719139	0.320437028417997	-3.97310653719139	1.27461101673624	-3.97310653719139	-0.305569085123433	1.08446521135242	-3.97310653719139	-3.97310653719139	-3.97310653719139	1.39519126062557	1.82587611389479	1.50126395655133	1.43528793412551	2.43955252988772	-3.97310653719139	-3.97310653719139	-3.97310653719139	0.58352876453429	-3.97310653719139
ASV_7_16S_022_3	4.24089506049776	5.25564552048115	4.9285779171809	4.74976462370984	4.83055832754364	5.30750991310677	3.95628365008505	4.59341816188396	5.15292200262239	4.3240652039235	4.86844940691747	5.12115492786398	4.58087871582859	5.14911195408724	5.48504932820636	4.59283376025233	4.81883963021253	4.44274801882604	4.24649942863783	4.55307208910334	4.32336054582215	4.7879072977288
ASV_8_16S_022_3	4.31235402447991	4.16110655720068	4.01562052172651	5.05773136733313	5.25737256110613	4.11846275899751	3.52963771989743	4.20444475538107	4.11941819805969	4.34032572479528	4.23308566812085	3.56169902529938	3.55864639540844	4.12846120688884	4.21992433676555	4.23942501410022	5.51489707960101	4.42160558225223	4.0479758972676	4.3656708631093	4.03207226679364	3.7765389171524
ASV_9_16S_022_3	1.31975164393484	2.01151002885371	2.64419018323877	2.62302212141204	1.61253392886566	-0.0246719673940228	1.5463400387705	1.56029835625834	1.98733292289443	1.82262925218429	1.00045867163983	2.33626016107857	1.37193439846131	2.27579298457379	2.40952251672822	2.17844553526012	1.50205959036296	2.26212133289886	0.680680067281121	1.81888880960322	3.62805120225771	1.79681540373131
ASV_10_16S_022_3	4.68920032728242	4.49058575833092	3.71285014962352	4.62618988573589	5.12693334141124	4.61436273254682	4.00307581159181	3.6690675130327	3.77909239212248	4.39778277982007	4.20850685785596	4.2423024873808	3.78889804562519	3.7554192854859	3.40038194409988	3.89640967889007	4.79126073195189	4.19203114060773	4.46486970119938	4.808217646122	4.29931567156815	3.84091757896584
ASV_11_16S_022_3	5.76313792434653	4.65553837119099	4.22704845786815	2.08044779933147	5.49519385757762	4.8462754556578	3.24500908493254	3.36780618245454	6.18433163917661	5.09092996038001	4.69317690206093	3.82235716864498	3.22823238882693	4.11703251106522	4.45617423558506	5.23508933351589	5.79056016702602	2.7039540851779	3.20430122924981	3.71707205881043	3.57926103808828	5.32535220777007
ASV_13_16S_022_3	5.15381310789328	4.93179174781915	4.69198878515734	4.93741225985585	4.54344395309178	4.72507944740518	4.39897146868382	5.04409926645571	4.73944311379067	4.1897528663159	5.04553218485515	5.15606548304035	4.88855910208739	4.6854762131242	4.89038875697921	5.36711356684984	5.09249897166364	4.40436377581772	4.77414705156186	4.29905611402732	4.2330056707822	5.41967375674745
ASV_14_16S_022_3	4.47940810914307	4.45889993925678	4.05557691709827	4.34801837448042	5.40154749881477	4.65848753745576	4.42927681817915	4.48448347852029	5.44628913870878	4.93466198143444	3.92030624766895	5.16530277755416	4.80288093165653	4.77746649421886	5.21092594984779	4.50987878259182	5.13067708010658	4.49173740602631	4.81962893573998	4.78438119796749	4.92260044973777	4.52805151230233
ASV_15_16S_022_3	5.09967080872965	4.19179609046189	4.04270465569343	5.27008305088782	4.43946978840273	4.15822599216952	3.93815626549249	4.88310510397478	4.51845241583756	4.22656683943862	4.92090761738205	4.92381137752067	5.05016916306383	4.32582064104733	4.84483222537684	4.96390834670911	5.37177139771938	3.93609776647053	4.78809671107057	4.49474790538445	4.70182656777888	4.85795387743609
ASV_16_16S_022_3	-3.97310653719139	3.62327082270395	2.49982750977767	0.112797663639753	-0.0403890955081829	1.2120906597549	1.72866159556446	3.11593356269947	2.72022043210389	-3.97310653719139	-3.97310653719139	3.19428198482875	0.821103440081618	2.26119418515264	2.8673556103537	2.87767176189645	-3.97310653719139	-3.97310653719139	3.23340931340788	-0.239499322878789	3.0531679421915	1.36317941865645
ASV_19_16S_022_3	3.87988171496043	3.38020862808323	3.60347759247574	5.22432195256737	4.51231752094417	2.8900912436263	3.94423531156887	4.60934568858006	4.36787955735819	4.3240652039235	5.3679572057508	3.59439948661032	4.49455842386992	4.17073669003708	4.6419620003555	4.71966335661084	4.88341862980545	4.04145828212835	4.99112589819202	3.79670595244777	3.77288215013617	4.11956616631995
ASV_22_16S_022_3	4.19965210196371	4.15703323181304	4.15226685820496	5.08261096321575	5.4058692342328	4.19320041444135	3.39216672926883	4.49782124372641	4.91744500944011	4.50820659743444	4.54141799567714	4.31726162994515	3.94409749324654	5.12507432760183	5.19014341066526	3.92019458391351	5.20247934121576	4.2990032601599	4.44065544307879	4.42236620678585	4.3125026758501	5.49169533742346
ASV_23_16S_022_3	3.78360488452501	2.85548009914824	3.42516807717174	4.74153412457333	3.58246925750796	3.98467938199469	2.70949084857618	3.65010268497373	5.00709839589258	5.45317312928526	5.3708797601934	4.71072703041368	4.24383597429507	3.8100074757703	2.98286849747554	3.15622135078495	4.07248841358912	3.6106753660359	3.41982085545336	5.3419062471108	4.10721191137973	4.96322765906377
ASV_24_16S_022_3	2.91661077416208	3.46795937664073	3.96529007042616	3.81883673803652	3.14688138994469	3.7645554605542	4.43300121727013	4.514091940592	4.25973739873848	3.34868555567934	4.6339880306706	3.95134249113235	4.52467042082496	4.99918385085348	4.78817219181135	4.90262511829221	3.80106686200912	4.36896184876681	4.11466727176627	5.20867379921363	4.96555539920817	5.36791182218886
