ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_big
OTU_2041_18S	0	0	0	0	0	0	0	0	167	181	0	39	10	0	0	0	0	8	0	0	0	0	0	405
OTU_1967_18S	0	0	0	0	0	0	0	21	34	68	0	353	116	0	0	0	26	0	54	0	0	0	0	672
OTU_2033_18S	0	0	0	0	0	0	0	187	0	0	0	0	0	0	0	0	68	68	86	0	0	0	0	409
OTU_2054_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	153	0	0	0	0	102	20	24	0	299
OTU_1924_18S	0	0	0	0	0	0	0	0	0	0	215	23	29	109	0	58	24	44	21	26	0	0	0	549
OTU_2069_18S	0	0	0	0	0	0	0	0	0	0	0	0	25	0	0	55	39	19	44	0	0	0	0	182
OTU_1970_18S	0	0	0	0	0	15	0	0	0	0	238	95	0	0	93	16	28	175	0	0	0	0	0	660
OTU_2005_18S	0	0	0	0	0	0	0	0	0	0	162	54	42	0	0	65	40	19	17	0	0	0	0	399
OTU_2058_18S	0	0	0	0	0	0	2	1	1	0	0	1	2	0	0	3	9	0	0	0	2	19	787	827
OTU_2031_18S	0	0	0	0	0	0	0	0	0	0	47	0	58	0	49	0	24	120	8	0	0	39	0	345
OTU_2155_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	162	0	0	0	0	0	71	77	67	0	377
OTU_2094_18S	0	0	0	0	0	0	0	66	5	11	0	45	50	0	0	35	43	12	0	0	0	0	0	267
OTU_2181_18S	0	0	0	0	0	0	0	0	0	159	168	0	57	0	45	33	141	55	89	0	0	0	0	747
OTU_2105_18S	0	0	0	0	0	0	0	3	16	153	34	57	3	0	29	4	5	15	42	0	40	1	0	402
OTU_2088_18S	0	0	0	0	0	0	0	0	0	65	0	0	12	0	45	6	0	19	31	0	0	33	0	211
OTU_2203_18S	21	0	0	0	0	0	0	0	0	0	0	0	0	210	0	0	0	0	34	327	0	0	0	592
OTU_2020_18S	0	0	0	0	0	0	0	124	0	0	0	0	113	0	0	0	175	55	0	0	0	0	0	467
OTU_2225_18S	0	0	0	0	0	0	0	0	44	0	170	93	0	70	52	0	0	0	0	0	0	92	0	521
OTU_2253_18S	0	0	0	373	33	0	8	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	43	460
OTU_2133_18S	0	0	0	0	0	0	0	67	21	0	0	27	14	0	0	64	37	15	42	0	0	0	0	287
OTU_2297_18S	0	0	0	0	0	0	0	114	52	0	0	0	25	0	17	50	11	68	35	87	0	0	0	459
OTU_2179_18S	0	0	0	0	0	0	0	0	0	0	0	149	57	0	0	362	45	54	0	0	0	0	0	667
OTU_2308_18S	0	0	0	0	0	0	0	0	0	0	0	97	0	0	81	0	0	49	26	0	0	0	0	253
OTU_2322_18S	0	0	0	0	0	0	0	0	113	0	0	46	113	95	0	46	0	0	23	0	0	0	0	436
OTU_2333_18S	25	0	0	0	0	7	41	0	0	0	0	0	0	0	45	0	24	0	0	0	0	0	0	142
OTU_2344_18S	0	0	0	0	0	0	0	0	0	0	22	178	56	0	0	26	0	0	0	0	0	0	0	282
OTU_2047_18S	0	0	0	0	0	0	0	169	196	0	0	16	0	0	0	0	0	34	59	0	0	0	0	474
OTU_2309_18S	0	0	0	0	0	0	0	63	0	0	139	124	18	0	0	0	0	0	0	0	0	0	0	344
OTU_2376_18S	0	0	0	0	0	0	0	21	55	0	0	0	53	0	0	0	0	24	39	213	0	0	0	405
OTU_2342_18S	0	0	0	0	0	0	0	12	0	0	0	0	0	0	15	0	15	36	12	598	0	0	0	688
OTU_1948_18S	0	0	0	0	0	0	0	84	0	0	0	0	0	0	0	21	173	82	0	0	0	0	0	360
OTU_2305_18S	0	0	0	0	0	0	0	0	76	0	0	0	14	0	0	0	0	30	14	52	0	0	0	186
OTU_2242_18S	0	0	0	0	0	0	0	159	0	0	0	0	15	0	0	0	0	42	32	0	0	0	0	248
OTU_2398_18S	0	0	0	0	0	0	0	142	0	79	0	93	16	222	88	0	0	53	0	0	0	0	0	693
