ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_20_16S	3.16613399977899	3.65665277220914	5.7232427668571	6.08643688982824	5.16369440406015	4.70724560902302	4.18605335318624	4.19995226080475	3.50920515454177	4.37157673017092	4.80342472371134	4.30905982851274	2.21418711125816	3.1226305774435	4.96010378610495	4.28962587882677	4.8007050262924	3.19119544756777	3.95717995901769	2.14822137390109	2.24019409534053	3.0109247453312	4.33134175948481
ASV_26_16S	1.07539290284522	0.823439428152928	3.66755531118537	3.37016102542499	3.4870898480822	3.40480555834	3.05432545573363	2.61202055359161	1.73613781832587	1.87537052512898	2.57157618180908	1.78333118420448	-0.921307104670993	-1.72155650901509	2.27599379254875	1.62587593662114	1.99912876717937	2.40526653355686	1.9921487685156	-1.07065445096711	-1.49747552294284	1.3589272184783	1.96421814535319
ASV_35_16S	2.20385815466301	2.18674427104812	4.54067387119432	5.52725985875543	4.33589033835394	4.47101442295345	5.3936028155276	3.38684576516582	2.17797057060491	3.38949825775876	4.90063694878715	3.88339201308705	-0.921307104670993	-1.72155650901509	4.67973703522954	4.07256137358894	4.77355403722645	2.67189519681081	3.01595984410101	-1.07065445096711	-1.49747552294284	2.55416634283548	3.56528780811677
ASV_37_16S	4.17055907338739	3.9470050732168	6.1263011349347	5.19813009852331	4.05717693588492	3.57985435580487	3.5831695850023	4.37864404954812	3.68732502448203	4.34884847909336	3.53083294956667	2.76416043721621	2.60505341994517	2.55510961000096	3.51483542252551	2.86425016766441	4.29285117291557	3.13923570863706	3.80176585514366	2.71353518295115	3.18465570418138	3.72060122784236	4.55135541779009
ASV_40_16S	-1.32250236995315	5.77284385609772	6.91658231488167	7.49185672524499	6.55978316277232	4.88838443356793	4.01603366729858	1.40093028149681	-1.55969904767846	1.52516809569587	1.90252655282819	1.69631980721485	1.64364225279054	1.88936140362913	-1.1579934119364	1.19509302052869	1.51729068028663	-1.17825240489925	-1.61876914412862	1.87378452819933	1.39289623495332	2.59288085501617	1.96421814535319
ASV_51_16S	6.2688546767454	5.85387734954536	4.04283544295514	-1.35722679328735	-1.06678704351834	3.39607187837124	4.068677400784	1.75760522543554	2.56743533736663	2.79166125700314	2.35451167657125	1.93748186403174	-0.921307104670993	1.83379155247432	-1.1579934119364	2.34371572977146	3.09774105584748	2.40526653355686	2.95594183437476	2.06483976496204	2.52787616779231	2.64227361034575	2.39708222764947
ASV_58_16S	-1.32250236995315	2.20973378927282	5.26185575387225	3.71794702194648	4.18548638452829	3.59434736310744	3.9645371415314	2.25838051334803	2.58343567871307	5.04103734621149	3.0323913850004	1.54971633302298	1.38127798832305	1.11165683504112	0.633766057291659	2.63747684829962	1.11182557217847	-1.17825240489925	1.4257532935948	1.92507782258688	-1.49747552294284	-1.77656699745085	-1.21383568499476
ASV_63_16S	3.24184582151468	3.74855413449297	5.41122859374579	4.68302791799006	2.59677460261131	-1.34012657002325	-1.54079439440096	-1.23812704811845	-1.55969904767846	1.22667510713987	1.49706144472003	0.684718895536371	-0.921307104670993	-1.72155650901509	-1.1579934119364	1.11505031285515	1.36314000045937	-1.17825240489925	0.460672397551212	-1.07065445096711	1.33573782111337	1.16787198171559	4.4421561258251
ASV_66_16S	5.82584337394691	4.37878748964234	2.23808877820027	-1.35722679328735	-1.06678704351834	-1.34012657002325	-1.54079439440096	3.82446798490852	3.87402295587578	5.14649373455047	-1.14199588489523	-1.39472264614346	3.26834763735543	2.97892385677732	-1.1579934119364	-1.36985633693285	-1.52723175743679	2.2557347995859	3.05405969033328	3.00688299293861	4.3996783446939	5.55580220847822	3.84241012035355
ASV_84_16S	-1.32250236995315	-1.57445584464544	-1.69373685452405	-1.35722679328735	-1.06678704351834	-1.34012657002325	0.944112255387041	1.40093028149681	0.0497388647556412	4.68010736874424	4.03978766539685	3.64222995627017	2.60505341994517	4.93901864082459	1.78644556723004	2.50134467397504	3.88441429441825	2.55941721338412	1.32566983503782	3.60217438349479	2.85923330374675	2.85816199077879	2.08200118100957
ASV_85_16S	-1.32250236995315	-0.188161483525552	3.61453084287715	-1.35722679328735	3.18170819853102	4.64380971066394	3.16873580691137	2.39945911160794	1.0793582819368	3.37944792190526	3.01688719846444	4.9579067501761	4.24917689036716	3.22720338136307	2.13784345406793	0.576053812122464	-1.52723175743679	2.07984413312223	2.47557541809348	3.50405652753627	3.32280604266219	1.86101916227554	2.39708222764947
ASV_96_16S	-1.32250236995315	-1.57445584464544	-1.69373685452405	-1.35722679328735	-1.06678704351834	-1.34012657002325	-1.54079439440096	1.15976822467992	-1.55969904767846	-1.90881910878928	-1.14199588489523	1.78333118420448	-0.921307104670993	-1.72155650901509	-1.1579934119364	-1.36985633693285	2.25695787648147	1.46080492471601	1.15381957811116	-1.07065445096711	-1.49747552294284	-1.77656699745085	-1.21383568499476
ASV_101_16S	-1.32250236995315	-1.57445584464544	-1.69373685452405	-1.35722679328735	-1.06678704351834	3.50406051643534	2.28784700208814	-1.23812704811845	-1.55969904767846	0.924394235266937	-1.14199588489523	-1.39472264614346	-0.921307104670993	-1.72155650901509	3.6861936745222	-1.36985633693285	-1.52723175743679	-1.17825240489925	-1.61876914412862	-1.07065445096711	-1.49747552294284	-1.77656699745085	-1.21383568499476
ASV_113_16S	5.33935237059216	3.39535745493056	2.01983521218026	-1.35722679328735	-1.06678704351834	2.86456604936771	3.8528331519514	3.94365650217364	3.25248530769396	3.65952539497182	2.22529994509124	2.07101325665626	2.51268009981415	3.29572332779983	-1.1579934119364	2.39134377876071	3.21770037092646	3.41686744523534	3.13482104697774	-1.07065445096711	2.8969736317296	2.28387601309557	-1.21383568499476
ASV_133_16S	5.7775247966761	4.38138152481939	2.3316148362111	-1.35722679328735	-1.06678704351834	1.79536764590589	1.67808143046724	0.707783100936864	1.80759678230802	2.49790013847497	1.99349833103392	1.31332755495875	-0.921307104670993	0.843392848446443	-1.1579934119364	1.11505031285515	3.08788875940447	0.613507064328804	2.68529594907555	-1.07065445096711	2.8969736317296	3.10623492513552	1.49421451610745
