ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_small
ASV_156_16S	93	54	11	9	0	0	0	95	176	316	7	32	74	211	44	34	23	84	158	188	345	401	1101	3456
ASV_157_16S	0	0	21	78	66	0	131	13	0	44	155	214	0	0	396	128	0	0	0	0	0	0	116	1362
ASV_158_16S	0	152	0	0	0	0	12	149	314	250	11	85	69	161	51	91	71	204	225	313	674	764	263	3859
ASV_160_16S	48	51	105	0	0	0	0	41	176	76	0	138	112	271	70	42	0	146	199	113	188	85	339	2200
ASV_161_16S	0	0	0	0	0	0	0	0	0	0	276	809	96	938	36	92	53	155	103	247	300	272	141	3518
ASV_162_16S	0	39	127	162	43	70	57	0	0	0	103	88	0	0	240	78	37	0	0	0	0	0	219	1263
ASV_163_16S	0	0	0	0	0	17	0	98	128	35	0	59	354	654	5	75	121	172	711	792	182	420	0	3823
ASV_164_16S	52	9	12	7	0	17	28	87	372	262	12	116	224	1185	47	42	47	137	259	204	413	131	179	3842
ASV_165_16S	0	0	0	0	0	0	0	0	0	0	0	73	0	0	0	0	0	0	98	97	39	0	0	307
ASV_166_16S	91	204	41	150	25	14	98	11	0	25	36	57	23	18	126	68	11	29	14	0	0	73	1034	2148
ASV_168_16S	0	8	0	0	0	0	0	0	69	73	0	41	0	0	233	0	6	0	26	299	253	638	136	1782
ASV_169_16S	0	0	22	147	130	61	102	35	12	24	269	506	17	26	502	783	78	71	28	0	0	0	56	2869
ASV_170_16S	0	0	0	15	0	0	0	0	68	30	6	29	0	23	75	0	0	10	0	355	103	295	128	1137
ASV_173_16S	0	0	123	53	0	143	86	0	0	85	63	118	0	58	35	0	0	0	0	0	0	0	0	764
ASV_174_16S	0	0	0	0	0	0	0	0	39	0	0	13	0	90	0	4	0	74	139	72	0	0	0	431
ASV_175_16S	48	0	0	0	0	0	0	34	123	75	0	58	98	331	25	25	17	72	163	50	166	83	137	1505
ASV_179_16S	0	0	0	0	0	50	320	69	0	38	381	819	0	43	633	838	282	133	99	0	31	27	0	3763
ASV_180_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1096	0	170	193	568	68	303	136	162	2696
ASV_181_16S	96	0	56	44	0	82	23	0	358	76	0	47	253	395	140	0	0	24	253	587	464	113	341	3352
ASV_182_16S	0	0	40	256	82	0	50	0	10	11	46	48	0	0	137	92	26	0	0	11	0	0	28	837
ASV_184_16S	0	0	0	0	0	88	0	0	0	0	185	307	0	0	341	52	0	0	0	0	7	0	0	980
ASV_185_16S	0	0	44	113	72	92	20	0	0	0	35	85	0	0	103	59	10	21	18	29	10	0	49	760
ASV_187_16S	34	0	4	0	0	0	0	150	347	136	0	225	218	450	0	24	79	233	433	89	183	102	106	2813
ASV_189_16S	110	13	32	0	0	0	0	39	279	105	0	0	39	331	9	0	0	31	156	244	413	242	472	2515
ASV_192_16S	0	0	0	0	166	60	288	99	0	48	498	137	0	0	243	86	62	0	0	0	0	0	152	1839
