ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
OTU_3_18S_3.200	24	651	13633	5787	4405	1305	1456	1813	957	1021	4438	5341	1689	1321	9222	1509	4811	2987	5100	1347	88362	60144	18248
OTU_4_18S_3.200	0	0	0	0	0	90	51	326	0	54	2554	1035	173	0	4931	388	686	111	198	25	0	0	0
OTU_6_18S_3.200	37	0	0	0	0	0	8	6747	7043	1231	0	803	6015	4221	0	10052	1353	5612	7259	931	58	0	33
OTU_7_18S_3.200	0	0	0	0	0	0	0	1528	20948	957	27	390	4479	1119	70	614	449	2165	5730	2459	0	17	0
OTU_9_18S_3.200	0	0	0	0	0	0	0	81	81	0	0	224	78	0	0	770	77	104	51	0	0	0	0
OTU_10_18S_3.200	502	19	0	0	0	0	0	13012	17786	13121	203	8967	23172	41052	21	127	1628	4415	17581	3106	31	0	0
OTU_11_18S_3.200	0	17	11	4462	568	6	30	0	0	0	15	65	0	0	117	0	0	0	0	0	359	359	2233
OTU_12_18S_3.200	0	0	13	8640	172	0	0	0	0	0	290	0	0	0	240	0	0	25	57	380	612	10398	2177
OTU_15_18S_3.200	0	0	0	0	0	17	0	2335	654	0	341	3769	1445	680	88	2932	29	112	127	0	0	0	0
OTU_17_18S_3.200	0	0	35	18281	1346	42	83	0	0	0	0	0	0	0	175	0	0	88	0	132	1019	8428	4151
OTU_18_18S_3.200	8145	58	0	0	0	0	0	1756	1220	5399	646	486	670	9182	530	21	295	679	1529	31973	0	0	0
OTU_16_18S_3.200	0	0	0	0	0	0	0	84	0	0	0	1421	0	0	0	14	46	193	0	0	0	0	0
OTU_22_18S_3.200	0	0	0	0	0	16	0	167	73	0	0	0	49	0	0	599	0	79	0	0	0	0	0
OTU_24_18S_3.200	0	0	0	0	0	0	0	2907	2575	497	51	1600	1008	0	0	942	243	264	453	887	0	0	0
OTU_26_18S_3.200	27	0	39	1619	120	126	136	0	0	163	1969	307	0	581	293	0	0	0	0	305	3115	1181	835
OTU_28_18S_3.200	240	52	0	24	0	0	13	1171	2556	2730	245	1818	1068	1050	176	345	588	1076	2138	1295	369	28	0
OTU_29_18S_3.200	25	0	0	0	0	0	0	1782	1429	408	132	1438	479	0	0	172	291	226	541	19	15	0	0
OTU_30_18S_3.200	0	0	0	0	0	0	0	65	181	0	0	0	0	0	1355	56	0	0	0	0	0	0	38
OTU_32_18S_3.200	0	0	0	0	0	0	7	0	0	131	209	80	34	0	0	0	0	26	0	0	0	0	0
OTU_34_18S_3.200	70	0	0	0	0	0	0	15	0	0	0	77	95	647	77	20	39	98	805	30	0	0	0
OTU_39_18S_3.200	0	0	0	0	0	383	374	136	0	0	655	287	188	0	1327	488	457	230	325	0	63	0	222
OTU_40_18S_3.200	0	0	0	161	235	0	112	616	72	0	0	67	118	0	0	179	738	233	0	0	0	6373	72400
OTU_41_18S_3.200	413	12	0	13	7	0	11	904	636	4512	114	2144	928	580	16	290	602	638	895	2190	191	0	51
OTU_38_18S_3.200	0	0	0	0	0	0	0	1977	1873	0	1367	4395	7292	0	103	2831	4635	1663	212	0	0	0	0
