ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504	abundancesum_small
OTU_4_18S	0	0	0	0	0	656	671	499	0	500	5921	1391	0	145	10664	1802	2550	726	165	0	0	0	0	25690
OTU_6_18S	3921	86430	2229	65	0	288	149	28770	10550	3643	0	1407	3533	61019	810	28386	12224	23673	25874	7819	940	780	118	302628
OTU_7_18S	3416	7673	859	58	0	66	0	15480	44797	11403	193	1319	3081	53387	2895	3872	11129	13759	38444	41082	1469	694	0	255076
OTU_9_18S	0	163	454	10	0	0	0	867	210	0	32	140	0	116	812	2175	809	483	76	0	483	0	29	6859
OTU_15_18S	918	5733	239	921	18	215	53	8018	1828	406	0	4276	354	5022	2950	8720	287	240	490	431	92	0	187	41398
OTU_18_18S	59883	0	0	81	226	0	0	4053	2277	8053	732	1141	213	4395	2117	200	1584	3919	1612	15633	0	0	0	106119
OTU_22_18S	0	0	0	0	0	2753	0	764	871	0	0	0	0	650	149	3646	773	385	279	0	0	0	0	10270
OTU_24_18S	993	3093	64	0	0	109	36	11390	3469	3404	0	2245	1422	4764	378	2967	1674	1440	1585	5606	0	0	0	44639
OTU_26_18S	311	0	6236	12759	11674	1540	4348	329	0	0	4949	415	0	0	1218	126	117	0	0	207	10058	5750	13015	73052
OTU_28_18S	12632	10569	466	309	0	91	5	931	3013	2091	0	463	156	1173	324	798	1718	1681	3375	1656	3576	0	0	45027
OTU_29_18S	2044	295	0	0	0	14	0	2047	757	594	424	1133	0	79	94	355	762	698	660	55	0	0	0	10011
OTU_39_18S	0	91	2002	2668	2789	758	21	0	0	0	0	0	0	0	135	287	186	283	0	0	735	139	1057	11151
OTU_41_18S	10497	14425	789	3059	16450	1459	193	334	962	1035	460	1273	368	77	0	425	1081	1077	917	768	1377	686	331	58043
OTU_46_18S	0	0	0	543	204	147	0	0	0	0	304	0	0	0	0	0	41	0	0	0	1423	226	0	2888
OTU_50_18S	77	773	0	0	0	0	0	3307	8135	1127	360	3941	1959	3248	729	1016	2517	5015	3507	960	162	0	0	36833
OTU_61_18S	0	151	1116	1601	1140	556	550	128	0	0	0	145	0	0	225	713	229	772	81	0	66	1975	270	9718
OTU_60_18S	1667	0	0	0	0	0	0	2796	588	1368	0	1028	0	594	464	1435	2688	1122	311	199	0	0	0	14260
OTU_58_18S	1418	529	838	0	0	70	15	2671	1535	504	582	945	94	1730	1553	4245	6814	4519	1745	1143	210	0	0	31160
OTU_67_18S	424	235	1513	411	112	155	0	0	0	0	0	73	0	0	496	81	148	29	0	25	348	49	461	4560
OTU_69_18S	537	0	0	0	245	987	1854	1599	540	306	577	2783	195	0	3153	1027	5979	1712	317	203	0	0	0	22014
OTU_71_18S	0	0	456	0	138	28	0	0	0	649	0	189	40	0	230	630	455	1082	640	0	0	0	0	4537
OTU_72_18S	0	86	1357	408	185	217	449	0	106	0	203	0	0	0	1894	228	263	470	124	75	6742	1242	0	14049
OTU_77_18S	30103	0	0	0	0	0	0	164	74	404	4	333	0	235	739	0	49	149	72	3350	0	0	0	35676
OTU_78_18S	0	0	517	852	122	108	64	403	1403	886	0	102	85	0	0	59	886	796	726	0	0	374	135	7518
OTU_86_18S	0	0	0	0	0	0	0	145	664	0	0	0	0	121	0	0	19	0	0	0	0	0	0	949
OTU_87_18S	2614	14539	131	0	0	24	4	1078	1964	68	0	0	0	1955	0	111	236	103	1828	8459	112	0	0	33226
OTU_92_18S	2384	165	91	581	267	407	151	0	183	0	0	0	0	139	113	38	125	110	118	501	376	0	233	5982
OTU_95_18S	518	0	1741	494	641	521	3772	138	0	373	1737	402	0	0	2365	180	131	0	164	119	333	0	526	14155
OTU_98_18S	0	0	0	0	0	0	0	259	0	0	0	30	0	0	0	89	35	0	0	0	0	0	47	460
OTU_97_18S	0	1977	0	0	269	355	254	0	10	0	99	0	0	15	0	341	150	87	156	0	0	1193	58	4964
OTU_100_18S	0	0	72	0	0	462	257	0	0	0	0	139	0	0	97	0	51	0	0	0	55	0	0	1133
OTU_107_18S	0	0	0	0	0	0	0	145	1042	764	0	0	0	0	0	59	111	181	0	0	188	0	5026	7516
OTU_101_18S	0	0	0	0	0	0	0	675	1582	0	0	333	383	260	0	0	195	565	1501	0	0	0	0	5494
OTU_105_18S	0	66	0	0	0	22	0	234	246	0	0	0	14	122	0	22	291	491	594	198	0	0	0	2300
OTU_110_18S	2410	322	4767	1733	732	353	243	220	25	0	731	463	0	0	707	680	782	893	720	1205	3188	1125	524	21823
OTU_106_18S	0	271	2157	65	251	91	65	439	1196	674	888	0	307	0	649	580	531	279	86	0	88	1289	0	9906
OTU_114_18S	122	0	33	0	0	294	0	57	43	0	123	136	0	0	606	0	0	0	0	0	15	0	0	1429
OTU_117_18S	0	0	296	0	0	0	0	0	0	0	0	0	0	0	374	0	0	144	0	0	0	282	0	1096
OTU_119_18S	5775	0	0	0	262	129	77	0	0	0	0	0	0	164	0	106	191	119	0	1595	176	40	0	8634
OTU_115_18S	10460	516	3160	200	0	0	265	0	177	1700	383	140	0	446	726	200	1696	188	968	0	1461	338	114	23138
OTU_121_18S	0	0	477	0	0	32	4	0	0	0	109	0	0	0	511	89	67	0	0	0	0	0	0	1289
OTU_130_18S	0	0	283	48	0	35	0	0	0	0	645	0	0	0	0	0	0	58	0	0	0	0	0	1069
OTU_133_18S	0	0	10337	903	166	19	24	0	0	0	0	95	0	0	40	0	251	0	0	0	0	1907	227	13969
OTU_136_18S	16	636	548	161	213	0	0	0	128	143	0	0	0	0	100	92	164	242	138	0	764	0	0	3345
OTU_129_18S	0	60	0	0	64	60	0	972	1587	224	0	481	1028	571	294	695	2379	1788	1378	0	115	0	0	11696
OTU_137_18S	0	0	863	595	721	0	0	204	266	0	0	0	468	588	1020	387	525	602	297	0	123	364	0	7023
OTU_144_18S	475	0	1681	158	420	413	79	0	88	45	293	0	0	0	869	0	351	0	86	0	724	5136	1474	12292
OTU_145_18S	46	109	0	0	0	61	0	0	0	0	0	0	0	0	0	52	33	59	24	51	0	0	0	435
OTU_128_18S	0	244	1844	0	0	176	0	417	78	0	0	0	233	15	0	165	108	1423	1546	0	895	348	0	7492
OTU_146_18S	136	0	0	0	0	14	0	142	0	0	0	0	0	0	0	38	23	122	29	0	79	0	0	583
OTU_148_18S	0	0	34	1603	4256	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	0	5986
OTU_151_18S	0	17	217	143	0	0	38	0	76	0	0	32	258	0	221	222	784	342	544	0	31	0	0	2925
OTU_157_18S	0	409	43	0	0	26	0	0	0	0	84	17	0	0	225	0	0	0	0	0	0	0	0	804
OTU_158_18S	0	0	0	779	638	850	25	0	0	0	0	0	0	0	2081	182	0	123	0	0	2029	290	5051	12048
OTU_167_18S	0	0	0	320	364	0	201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	330	0	1215
OTU_168_18S	182	154	1351	388	495	386	28	0	0	0	114	0	0	0	135	0	100	39	0	0	574	0	151	4097
OTU_166_18S	1016	523	302	0	467	45	0	0	151	253	0	474	314	0	214	144	88	189	192	125	475	0	0	4972
OTU_162_18S	178	0	77	0	0	153	147	0	0	679	423	0	0	0	1976	274	203	375	130	0	363	0	198	5176
