ASV	BL.20130417	BL.20130507	BL.20130604	BL.20130709	BL.20130801	BL.20130917	BL.20131015	BL.20140114	BL.20140211	BL.20140310	BL.20141007	BL.20141111	BL.20150113	BL.20150210	BL.20150916	BL.20151006	BL.20151110	BL.20151215	BL.20160119	BL.20160210	BL.20160308	BL.20160405	BL.20160504
ASV_1380_16S_022.3	6	0	0	0	0	0	0	0	22	8	0	4	11	29	0	0	5	17	37	12	0	0	0
ASV_1382_16S_022.3	0	0	0	0	0	53	56	0	0	0	0	85	0	0	24	26	0	0	0	0	0	0	0
ASV_1387_16S_022.3	0	0	0	0	8	0	0	0	0	86	0	56	21	0	0	0	4	0	0	7	0	0	0
ASV_1396_16S_022.3	0	0	7	0	0	0	0	8	35	0	0	8	7	33	0	0	0	10	2	6	2	0	11
ASV_1397_16S_022.3	0	0	0	0	0	0	0	22	21	125	0	0	0	0	0	0	0	0	0	0	0	0	4
ASV_1394_16S_022.3	0	0	0	0	0	0	0	0	48	0	0	0	0	54	0	0	0	7	57	0	6	0	0
ASV_1401_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	33	31	13	0	0	0	0
ASV_1406_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51	76	50	59	0	0
ASV_1407_16S_022.3	0	0	0	0	0	0	0	49	29	40	0	0	0	23	0	0	0	0	26	0	36	0	0
ASV_1411_16S_022.3	0	0	0	0	0	0	0	35	36	0	0	0	0	115	0	0	0	18	0	8	13	7	0
ASV_1415_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	54	0	0	21	0	0	9
ASV_1418_16S_022.3	0	0	0	0	0	0	0	6	12	0	0	24	23	0	0	0	0	16	17	12	17	0	25
ASV_1420_16S_022.3	5	0	10	0	6	104	8	0	2	0	0	0	0	0	1	0	0	1	1	0	0	0	0
ASV_1426_16S_022.3	0	0	0	0	0	0	0	7	8	52	16	34	12	10	15	0	0	0	3	2	0	1	1
ASV_1429_16S_022.3	0	0	10	55	19	0	11	0	7	0	18	0	0	0	11	14	19	0	6	0	0	0	2
ASV_1439_16S_022.3	0	0	0	0	0	0	0	8	22	12	0	0	0	13	0	0	0	0	28	11	23	0	0
ASV_1443_16S_022.3	0	0	0	0	0	0	0	0	30	7	0	0	11	31	0	0	0	26	22	5	24	32	0
ASV_1442_16S_022.3	0	0	4	0	0	3	0	0	20	22	0	0	0	40	0	0	0	2	45	29	25	0	6
ASV_1446_16S_022.3	4	0	0	0	0	0	0	0	14	2	32	25	1	1	30	30	10	10	1	2	8	8	6
ASV_1458_16S_022.3	0	0	0	0	0	0	0	62	22	17	0	0	0	29	0	0	0	27	28	0	0	0	0
ASV_1459_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	20	14	64	0	0	0	0	10	0	0	0	0
ASV_1481_16S_022.3	0	0	0	0	0	0	0	28	0	9	0	38	69	0	0	0	16	0	38	0	0	0	0
ASV_1482_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	11	29	21	29	0	0	0	18
ASV_1489_16S_022.3	0	120	0	0	0	0	0	0	2	17	0	0	0	0	4	0	0	3	7	7	3	2	0
ASV_1491_16S_022.3	0	0	0	0	0	0	0	49	22	0	0	0	19	0	0	0	0	26	38	0	9	5	0
ASV_1490_16S_022.3	0	0	0	0	0	0	0	0	16	5	0	0	0	6	0	0	5	14	31	12	41	0	8
ASV_1498_16S_022.3	0	0	0	0	0	0	0	8	21	9	0	0	0	27	2	0	6	17	33	9	27	22	3
ASV_1508_16S_022.3	0	0	0	0	0	0	0	19	38	0	0	0	0	93	0	0	0	11	0	0	32	0	0
ASV_1507_16S_022.3	0	0	0	0	0	0	0	9	31	5	0	0	19	78	0	0	0	7	7	6	5	0	0
ASV_1516_16S_022.3	0	0	0	0	0	0	0	0	52	5	0	0	0	72	0	0	0	0	35	0	15	0	0
ASV_1521_16S_022.3	0	0	0	0	0	0	0	0	0	0	0	0	0	47	0	0	0	0	0	32	95	76	0
ASV_1523_16S_022.3	0	0	0	0	0	0	63	0	0	0	18	54	0	0	58	38	0	0	0	0	0	0	0
ASV_1534_16S_022.3	0	0	0	0	0	0	0	0	6	0	0	0	23	34	33	0	0	0	16	0	23	0	24
ASV_1543_16S_022.3	0	0	0	0	0	0	0	40	12	14	0	0	0	25	0	0	0	0	12	0	0	0	0
ASV_1541_16S_022.3	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	21	30	47	0	0
ASV_1551_16S_022.3	0	0	0	0	0	0	0	46	29	45	0	0	0	32	0	0	0	11	31	0	0	0	0
ASV_1556_16S_022.3	0	0	0	0	0	0	0	14	24	8	0	0	12	55	0	0	0	18	39	0	0	0	0
ASV_1560_16S_022.3	0	0	0	0	0	0	0	0	23	0	0	0	0	67	0	0	0	12	17	13	32	13	9
